mu,rho,alpha,beta,V0,sigma_v,lambda,mu_y,sigma_y,LL
-0.00307064197956047,-0.986962557402305,0.00445494773466744,-1.28647102760622,0.00259093315044009,0.0759714339845416,0.00833512333527407,0.0272862963879234,0.619467208346499,472.561478856581
-0.00376114599339356,-0.986962557402305,0.00455333770683241,-1.33395301578475,0.00259093315044009,0.0759714339845416,0.00862029509569485,0.00716268377483221,0.794230994854565,466.049841674651
-0.00449912863947472,-0.986962557402305,0.00454857744166403,-1.26094710705543,0.00259093315044009,0.0759714339845416,0.011696249020026,0.125728775486129,0.721876604185271,487.053867211083
-0.00520938911663543,-0.986962557402305,0.00455277151110697,-1.27546576198146,0.00259093315044009,0.0759714339845416,0.00267479133684178,-0.0637401383816334,0.740785259973494,510.743028462064
-0.00569912724305938,-0.986962557402305,0.00458846240319571,-1.28926917768396,0.00797305475184476,0.0759714339845416,0.0125379524408022,-0.0459831149048181,0.695830345068838,470.53411078091
-0.00524531636083429,-0.984529951536389,0.00456825005865455,-1.26890748683321,0.00797305475184476,0.0759714339845416,0.0100138079330767,-0.0424745621650497,0.709521861845386,480.581298215152
-0.00582783187165887,-0.984529951536389,0.00454697461188504,-1.25238354077756,0.00797305475184476,0.0759714339845416,0.0222143382483436,0.0339179354553084,0.755071051808724,432.756325964638
-0.00441791283388438,-0.984529951536389,0.00450782159442369,-1.26695037081494,0.00797305475184476,0.0759714339845416,0.0113268933732854,0.0817554340354626,0.73257031105123,478.079524681936
-0.00559493945675841,-0.984529951536389,0.00463483928780022,-1.27382114263482,0.00797305475184476,0.0759714339845416,0.0104207285590027,-0.023886547582551,0.663767551269007,449.945632446289
-0.00577635420047094,-0.984529951536389,0.00466526176796293,-1.26880404330421,0.00797305475184476,0.0759714339845416,0.0127487835523908,-0.0654744836744869,0.658894770169697,499.711341520123
-0.00657390696287821,-0.984529951536389,0.00461033389252277,-1.2511790277917,0.00797305475184476,0.0759714339845416,0.00991849033523153,-0.0253805885350367,0.699074758381416,482.473101131681
-0.00605649047018053,-0.987086017985519,0.00460243529303054,-1.27381666141708,0.00797305475184476,0.0759714339845416,0.00779632272011491,-0.0380956521299516,0.77660056460866,536.028591303049
-0.00598364178086958,-0.987086017985519,0.00457482794438145,-1.24903026347353,0.00797305475184476,0.0755948789504815,0.00959280930657844,-0.00243036532924645,0.698243333310795,480.835550363502
-0.00543897625651615,-0.987086017985519,0.00453679175151158,-1.23543154337545,0.00797305475184476,0.0755948789504815,0.0063288878296632,0.112548022922055,0.722469274447889,497.607670649718
-0.00573150703937865,-0.987086017985519,0.00462070359347224,-1.24601905270867,0.00797305475184476,0.0755948789504815,0.01614581784239,0.0295204996917892,0.737795098033405,484.933130414318
-0.00660641563853946,-0.987086017985519,0.00468239198800688,-1.26347251330916,0.00797305475184476,0.0755948789504815,0.042054612537171,-0.0295495122201473,0.877430052819464,517.136693616709
-0.00692525946012134,-0.987086017985519,0.0047195387414849,-1.30522733709768,0.00797305475184476,0.0755948789504815,0.00439890748841652,0.139422571481887,0.804478304112172,492.999166078313
-0.00641159173149127,-0.987086017985519,0.00463217807716039,-1.24436957008831,0.00419390438453635,0.0755948789504815,0.0155452794196762,0.111357173491538,0.711488338056521,499.312158771857
-0.0060403398623468,-0.987086017985519,0.00461330995416404,-1.25499942104325,0.00419390438453635,0.0755948789504815,0.00602043528805482,0.0749026720614446,0.837054654374508,519.599102806516
-0.00546733574695725,-0.987086017985519,0.00459153074146334,-1.26672747012155,0.00419390438453635,0.0755948789504815,0.0217922261961829,-0.182938197763179,0.695261799477768,459.023523948232
-0.00518259548908387,-0.987086017985519,0.0045793537779939,-1.26218312851674,0.00419390438453635,0.0755948789504815,0.00401748944517492,-0.0305231129644293,0.749284679587118,433.676314023697
-0.00584477033491456,-0.987086017985519,0.0046615460212059,-1.26797774087924,0.00419390438453635,0.0767311748661943,0.0267070496821641,-0.130154628587084,0.835482492480881,504.885892124756
-0.00575238041578162,-0.987086017985519,0.00466943138952456,-1.27151327786111,0.0033679588225526,0.0767311748661943,0.0126957194350714,-0.108107697948139,0.717851201562886,507.399173747383
-0.00720339966833467,-0.987086017985519,0.0047230519203768,-1.21642803581904,0.0033679588225526,0.0767311748661943,0.0103327528800604,0.0308635510261793,0.754164130081591,511.230268466603
-0.00765311426942956,-0.987086017985519,0.00471702764463647,-1.24583059639137,0.0033679588225526,0.0767311748661943,0.0125254848801202,-0.0296521289289473,0.718158262805729,505.035922025711
-0.00644944539873485,-0.987086017985519,0.00469647185794593,-1.24929345992293,0.0033679588225526,0.0767311748661943,0.0323540416820496,0.0602187290671716,0.726090169099171,482.104453102332
-0.00751614959032843,-0.987086017985519,0.00474556545058058,-1.23889788838242,0.0033679588225526,0.0767311748661943,0.00326646051069983,0.137753651947466,0.732483011910123,489.084293826802
-0.00790788205570112,-0.987086017985519,0.00478588967014825,-1.25226563691364,0.0033679588225526,0.0767311748661943,0.0211645000947959,0.0377870523345185,0.733335544239989,491.77378502585
-0.00817576464906169,-0.987086017985519,0.00472216839637129,-1.18521227751428,0.0033679588225526,0.0767311748661943,0.0136254924937478,0.146730069251621,0.64068020872173,483.053675451769
