log_return,q_density,p_density,pricing_kernel,pricing_kernel_normalized
-0.261568665715761,0.182651370362163,0.378496484464337,0.482570850349268,0.54359787309938
-0.259176932711184,0.190776144064182,0.394962164300731,0.483023847111902,0.544108156877421
-0.256785199706607,0.199483908872578,0.411963767760725,0.48422682887113,0.545463270484513
-0.254393466702029,0.208749076621974,0.429448202765973,0.486086739395976,0.54755838958408
-0.252001733697452,0.218516953594901,0.447370572469609,0.488447312009432,0.550217485654725
-0.249610000692875,0.228711885192858,0.465686021978624,0.491128946110725,0.553238245389464
-0.247218267688297,0.239271064694822,0.484344376896709,0.49401020453232,0.556483874396469
-0.24482653468372,0.250144717560008,0.503301234434769,0.497007955565482,0.559860727939381
-0.242434801679143,0.2613312482284,0.522521199876387,0.500135206552813,0.563383458299349
-0.240043068674565,0.272863438228514,0.541965079568703,0.503470515933719,0.567140558597216
-0.237651335669988,0.284818043229842,0.561597716983375,0.507156697074454,0.57129290270692
-0.235259602665411,0.297281565698521,0.58140078445719,0.511319512539136,0.5759821574165
-0.232867869660833,0.310334295727065,0.601352953500468,0.516060150566506,0.581322307462752
-0.230476136656256,0.324031355781927,0.621449864618249,0.521411901796738,0.587350853496988
-0.228084403651679,0.338376178938311,0.641689865630416,0.52732043478025,0.594006593189201
-0.225692670647101,0.353311980872634,0.662095270106698,0.533627102963139,0.601110817176375
-0.223300937642524,0.368738632744539,0.682696209230501,0.540121107688824,0.608426068717624
-0.220909204637946,0.384522020556203,0.703522043757523,0.546567124609862,0.615687263805771
-0.218517471633369,0.400532147323332,0.724613239988063,0.552753007010926,0.622655427162566
-0.216125738628792,0.41666915061166,0.745999698529756,0.558537961118278,0.629171959908914
-0.213734005624214,0.432896615267837,0.767717652743921,0.563874770523524,0.635183674540515
-0.211342272619637,0.44926804479045,0.789780891269464,0.568851500152547,0.640789772876893
-0.20895053961506,0.465902733370529,0.812214574039073,0.573620257826247,0.646161598644806
-0.206558806610482,0.483010537272296,0.835021715517598,0.578440689980016,0.65159163376672
-0.204167073605905,0.500848248493416,0.858195403240233,0.58360630528012,0.657410504691796
-0.201775340601328,0.519683530726153,0.881734297508864,0.589387905397803,0.663923259295205
-0.19938360759675,0.539783943916621,0.905629883610965,0.596031506562452,0.671407025586123
-0.196991874592173,0.56136297636005,0.929889117899658,0.603688080174549,0.680031867156543
-0.194600141587596,0.584568240098105,0.954513868001755,0.612425088513256,0.689873777721044
-0.192208408583018,0.609430995317639,0.979525327551514,0.622169716469724,0.70085073380417
-0.189816675578441,0.635892323021673,1.00496024534403,0.632753709380799,0.712773202869997
-0.187424942573864,0.663795440763842,1.03086277963518,0.643922211449671,0.725354099469845
-0.185033209569286,0.692887637735556,1.05729238682873,0.655341555814867,0.73821756046136
-0.182641476564709,0.722877191020496,1.08430224696516,0.666674991261659,0.750984248294507
-0.180249743560132,0.753436359291235,1.11195819664757,0.677576154897518,0.763263998226505
-0.177858010555554,0.78426218241416,1.14030593461558,0.687764711738125,0.774741023464349
-0.175466277550977,0.815117794335013,1.16939896766879,0.697039946905342,0.785189226263475
-0.1730745445464,0.845853960970284,1.19926877973222,0.705308080444777,0.794502967040162
-0.170682811541822,0.876451690432982,1.22994773975657,0.712592626583017,0.802708733684326
-0.168291078537245,0.907015223733948,1.26144745466068,0.719027352572471,0.809957209963638
-0.165899345532668,0.937816938511913,1.29379529621032,0.724857279400295,0.816524402784416
-0.16350761252809,0.969191093376241,1.32701915456597,0.730351999849798,0.82271399825514
-0.161115879523513,1.00158526090455,1.36116306293224,0.735830473350433,0.82888529215037
-0.158724146518936,1.03548736469012,1.39627497484842,0.741607049716362,0.835392387686792
-0.156332413514358,1.07136036492142,1.43241389119529,0.7479405020482,0.842526783008166
-0.153940680509781,1.1096420261908,1.46966276158243,0.755031735985484,0.850514790744581
-0.151548947505204,1.15065030500632,1.50806060139649,0.763000043858184,0.859490789209191
-0.149157214500626,1.19458784491847,1.54765013986049,0.771872023367088,0.869484739709374
-0.146765481496049,1.24149529522256,1.58841496517231,0.78159380416558,0.880435959330231
-0.144373748491471,1.29126136175801,1.63029025793539,0.792043843403242,0.892207534632151
-0.141982015486894,1.34363648583997,1.67315334185619,0.803056391920028,0.904612755434021
-0.139590282482317,1.39820485806637,1.71679728681734,0.814426297619807,0.917420525632463
-0.137198549477739,1.45445866586508,1.76096897699185,0.82594224252016,0.930392803485613
-0.134806816473162,1.51181958636085,1.8053643674095,0.837404134950414,0.943304193268627
-0.132415083468585,1.56969119159939,1.84964540038942,0.848644389496988,0.955965916329999
-0.130023350464007,1.62748365293865,1.89345902645044,0.859529374654387,0.968227441815837
-0.12763161745943,1.6846916034901,1.9364783461799,0.869976990351326,0.979996287090486
-0.125239884454853,1.74092132414854,1.97842247739035,0.879954278746833,0.991235326388386
-0.122848151450275,1.79593450720387,2.01907908321638,0.889482003024347,1.00196794865304
-0.120456418445698,1.84968624968872,2.05831668483061,0.898640264309446,1.01228438478313
-0.118064685441121,1.9022842036102,2.09610305822048,0.907533718893179,1.02230252614563
-0.115672952436543,1.95403087172313,2.13248286193546,0.916317268758559,1.03219686398561
-0.113281219431966,2.0053734030378,2.16761895331736,0.92515033602596,1.04214698131249
-0.110889486427389,2.05686212549518,2.20173876301605,0.934198988565559,1.05233994732231
-0.108497753422811,2.10909980313505,2.235135673061,0.943611534885779,1.06294282595954
-0.106106020418234,2.16264240780001,2.26812699398024,0.953492645491108,1.07407352460209
-0.103714287413657,2.21798022270122,2.30102504334784,0.963909640667885,1.08580787701498
-0.101322554409079,2.27541531048105,2.33410303780365,0.974856411061514,1.09813900124052
-0.098930821404502,2.33504585837337,2.36756823475807,0.98626338370855,1.11098852595786
-0.0965390883999246,2.39671274966771,2.40151222036692,0.998001479793231,1.12421104874649
-0.0941473553953473,2.46004084255577,2.43592588837851,1.00989970766036,1.1376139539521
-0.09175562239077,2.52442854628613,2.47066675514628,1.02176003341117,1.15097416385235
-0.0893638893861926,2.58916404629705,2.50547291268387,1.03340332804617,1.16408989638131
-0.0869721563816153,2.653471072569,2.53999720659274,1.04467479951621,1.17678678413028
-0.0845804233770379,2.71662648532687,2.57381662825566,1.05548563775035,1.18896478590194
-0.0821886903724606,2.7779816887745,2.60651448696571,1.06578409698708,1.2005656120464
-0.0797969573678832,2.83703672138098,2.6376997183535,1.0755722880965,1.21159164037928
-0.0774052243633059,2.89345954734759,2.66705716606838,1.08488846214457,1.22208595928455
