XBTEUR KRKN Curncy,,,,
41742,304.97,#N/A N/A,,
41743,335.72,310.08,,
41744,377.5,335.72,,
41745,378.13,377.5,,
41746,360.25,378.13,,
41747,351.76,360.25,,
41748,363,#N/A N/A,,
41749,361.16,#N/A N/A,,
41750,360.05,351.76,,
41751,354.4,360.05,,
41752,355.33,354.4,,
41753,360.99,355.33,,
41754,361,360.99,,
41755,332.14,#N/A N/A,,
41756,314,#N/A N/A,,
41757,315.17,361,,
41758,324,315.17,,
41759,331.28,324,,
41760,332.8,331.28,,
41761,323.08,332.8,,
41762,317.92,#N/A N/A,,
41763,314.46,#N/A N/A,,
41764,305,323.08,,
41765,309.34,305,,
41766,322.14,309.34,,
41767,320.82,322.14,,
41768,326.29,320.82,,
41769,328.82,#N/A N/A,,
41770,316,#N/A N/A,,
41771,321.49,326.29,,
41772,318.58,321.49,,
41773,324.9,318.58,,
41774,326.91,324.9,,
41775,328,326.91,,
41776,328.24,#N/A N/A,,
41777,325.2,#N/A N/A,,
41778,326,328,,
41779,354.38,326,,
41780,359,354.38,,
41781,382.43,359,,
41782,389,382.43,,
41783,385.06,#N/A N/A,,
41784,418.36,#N/A N/A,,
41785,427,389,,
41786,424.41,427,,
41787,419.72,424.41,,
41788,416.93,419.72,,
41789,445.59,416.93,,
41790,454.18,#N/A N/A,,
41791,473.03,#N/A N/A,,
41792,479.59,445.59,,
41793,491.24,479.59,,
41794,477.33,491.24,,
41795,484.39,477.33,,
41796,481.04,484.39,,
41797,480.33,#N/A N/A,,
41798,479.92,#N/A N/A,,
41799,474.48,481.04,,
41800,479.04,474.48,,
41801,467.5,479.04,,
41802,433.49,467.5,,
41803,429.18,433.49,,
41804,409.71,#N/A N/A,,
41805,423,#N/A N/A,,
41806,439.1,429.18,,
41807,448.72,439.1,,
41808,447.66,448.72,,
41809,441.8,447.66,,
41810,438,441.8,,
41811,436.96,#N/A N/A,,
41812,439.97,#N/A N/A,,
41813,430.3,438,,
41814,431.85,430.3,,
41815,417.67,431.85,,
41816,420,417.67,,
41817,423.5,420,,
41818,436.97,#N/A N/A,,
41819,435.5,#N/A N/A,,
41820,470.59,423.5,,
41821,467.78,470.59,,
41822,469.9,467.78,,
41823,468.98,469.9,,
41824,465.96,468.98,,
41825,463.83,#N/A N/A,,
41826,467.89,#N/A N/A,,
41827,459,465.96,,
41828,459.7,459,,
41829,457.24,459.7,,
41830,453.96,457.24,,
41831,464.64,453.96,,
41832,466,#N/A N/A,,
41833,463.31,#N/A N/A,,
41834,456.89,464.64,,
41835,458.5,456.89,,
41836,458.88,458.5,,
41837,461.01,458.88,,
41838,462.47,461.01,,
41839,461.61,#N/A N/A,,
41840,459.5,#N/A N/A,,
41841,457.98,462.47,,
41842,460.01,457.98,,
41843,460.98,460.01,,
41844,448.31,460.98,,
41845,449.39,448.31,,
41846,443.89,#N/A N/A,,
41847,444,#N/A N/A,,
41848,444.5,449.39,,
41849,436,444.5,,
41850,425.38,436,,
41851,439.44,425.38,,
41852,446.67,439.44,,
41853,442.29,#N/A N/A,,
41854,436.98,#N/A N/A,,
41855,438.3,446.67,,
41856,435,438.3,,
41857,435,435,,
41858,443.38,435,,
41859,441.53,443.38,,
41860,438.99,#N/A N/A,,
41861,438.01,#N/A N/A,,
41862,432.85,441.53,,
41863,428.49,432.85,,
41864,407.5,428.49,,
41865,389.32,407.5,,
41866,378.99,389.32,,
41867,390.14,#N/A N/A,,
41868,376.39,#N/A N/A,,
41869,342.42,378.99,,
41870,370,342.42,,
41871,392,370,,
41872,397.25,392,,
41873,394.78,397.25,,
41874,378.5,#N/A N/A,,
41875,387.85,#N/A N/A,,
41876,385,394.78,,
41877,386.61,385,,
41878,389.02,386.61,,
41879,383.25,389.02,,
41880,385,383.25,,
41881,382.6,#N/A N/A,,
41882,365.4,#N/A N/A,,
41883,366.76,385,,
41884,362.74,366.76,,
41885,363,362.74,,
41886,375.7,363,,
41887,372.54,375.7,,
41888,372.56,#N/A N/A,,
41889,370.5,#N/A N/A,,
41890,365.72,372.54,,
41891,367.83,365.72,,
41892,370,367.83,,
41893,366.01,370,,
41894,365.26,366.01,,
41895,367.21,#N/A N/A,,
41896,365.65,#N/A N/A,,
41897,363.13,365.26,,
41898,359.79,363.13,,
41899,347.33,359.79,,
41900,322,347.33,,
41901,309,322,,
41902,319.79,#N/A N/A,,
41903,312,#N/A N/A,,
41904,313.16,309,,
41905,349.08,313.16,,
41906,335,349.08,,
41907,319.23,335,,
41908,319.69,319.23,,
41909,313.76,#N/A N/A,,
41910,300.8,#N/A N/A,,
41911,296.5,319.69,,
41912,308.5,296.5,,
41913,303.85,308.5,,
41914,296.43,303.85,,
41915,286.01,296.43,,
41916,263.61,#N/A N/A,,
41917,248.39,#N/A N/A,,
41918,265.46,286.01,,
41919,264.88,265.46,,
41920,278,264.88,,
41921,292.79,278,,
41922,285.56,292.79,,
41923,288.69,#N/A N/A,,
41924,295.89,#N/A N/A,,
41925,303.14,285.56,,
41926,320,303.14,,
41927,306.01,320,,
41928,300,306.01,,
41929,299.11,300,,
41930,305.55,#N/A N/A,,
41931,303.6,#N/A N/A,,
41932,300,299.11,,
41933,303.86,300,,
41934,302.91,303.86,,
41935,283.7,302.91,,
41936,284.58,283.7,,
41937,277.5,#N/A N/A,,
41938,281,#N/A N/A,,
41939,281.22,284.58,,
41940,280.49,281.22,,
41941,270,280.49,,
41942,275.68,270,,
41943,273.04,275.68,,
41944,256.94,#N/A N/A,,
41945,258.71,#N/A N/A,,
41946,261.69,273.04,,
41947,260.29,261.69,,
41948,272.14,260.29,,
41949,279.12,272.14,,
41950,274.07,279.12,,
41951,270.91,#N/A N/A,,
41952,283.84,#N/A N/A,,
41953,290.5,274.07,,
41954,293,290.5,,
41955,331.98,293,,
41956,321.19,331.98,,
41957,315,321.19,,
41958,303.19,#N/A N/A,,
41959,310.47,#N/A N/A,,
41960,311.88,315,,
41961,305,311.88,,
41962,303.01,305,,
41963,289.15,303.01,,
41964,286.07,289.15,,
41965,288.33,#N/A N/A,,
41966,296.99,#N/A N/A,,
41967,303.32,286.07,,
41968,300.64,303.32,,
41969,293.87,300.64,,
41970,296.82,293.87,,
41971,302.73,296.82,,
41972,301.5,#N/A N/A,,
41973,300.47,#N/A N/A,,
41974,303.13,302.73,,
41975,305,303.13,,
41976,305.38,305,,
41977,301.3,305.38,,
41978,304.97,301.3,,
41979,303.17,#N/A N/A,,
41981,298.04,304.97,,
41982,285.3,298.04,,
41983,282.85,285.3,,
41984,282.04,282.85,,
41985,288,282.04,,
41986,281.96,#N/A N/A,,
41987,285.5,#N/A N/A,,
41988,280.61,288,,
41989,266.99,280.61,,
41990,260.25,266.99,,
41991,255.89,260.25,,
41992,258,255.89,,
41993,267,#N/A N/A,,
41994,263.03,#N/A N/A,,
41995,271,258,,
41996,270.97,271,,
41997,263,270.97,,
41998,263.27,263,,
41999,271.88,263.27,,
42000,260.79,#N/A N/A,,
42001,260.85,#N/A N/A,,
42002,258.54,271.88,,
42003,256.6,258.54,,
42004,263.6,256.6,,
42005,263.66,263.6,,
42006,265.03,263.66,,
42007,245.01,#N/A N/A,,
42008,223.11,#N/A N/A,,
42009,228.64,265.03,,
42010,241.92,228.64,,
42011,249.57,241.92,,
42012,246.97,249.57,,
42013,243.31,246.97,,
42014,234.94,#N/A N/A,,
42015,226.92,#N/A N/A,,
42016,227.5,243.31,,
42017,201.2,227.5,,
42018,156.96,201.2,,
42019,178.21,156.96,,
42020,182.04,178.21,,
42021,174.15,#N/A N/A,,
42022,181.97,#N/A N/A,,
42023,186.87,182.04,,
42024,183.38,186.87,,
42025,196.7,183.38,,
42026,203.55,196.7,,
42027,208.38,203.55,,
42028,218.97,#N/A N/A,,
42029,224.98,#N/A N/A,,
42030,240.49,208.38,,
42031,232.01,240.49,,
42032,210.64,232.01,,
42033,207.22,210.64,,
42034,204.37,207.22,,
42035,199,#N/A N/A,,
42036,207.5,#N/A N/A,,
42037,201.71,204.37,,
42038,199,201.71,,
42039,200.55,199,,
42040,191.94,200.55,,
42041,197.9,191.94,,
42042,200.83,#N/A N/A,,
42043,196.4,#N/A N/A,,
42044,195.9,197.9,,
42045,194.38,195.9,,
42046,194.97,194.38,,
42047,196.22,194.97,,
42048,203.92,196.22,,
42049,219.95,#N/A N/A,,
42050,203.25,#N/A N/A,,
42051,208.78,203.92,,
42052,211.63,208.78,,
42053,204.77,211.63,,
42054,211.74,204.77,,
42055,214.3,211.74,,
42056,214.3,#N/A N/A,,
42057,207.28,#N/A N/A,,
42058,212.11,214.3,,
42059,210.4,212.11,,
42060,209.37,210.4,,
42061,210.05,209.37,,
42062,222.65,210.05,,
42063,221.4,#N/A N/A,,
42064,224,#N/A N/A,,
42065,244.65,222.65,,
42066,250.89,244.65,,
42067,243,250.89,,
42068,252.86,243,,
42069,249,252.86,,
42070,252.81,#N/A N/A,,
42071,250.07,#N/A N/A,,
42072,265.35,249,,
42073,272.99,265.35,,
42074,277.99,272.99,,
42075,279.93,277.99,,
42076,275.74,279.93,,
42077,270.1,#N/A N/A,,
42079,274.98,275.74,,
42080,272.99,274.98,,
42081,247.8,272.99,,
42082,243,247.8,,
42083,245.17,243,,
42084,241.71,#N/A N/A,,
42085,248,#N/A N/A,,
42086,245.7,245.17,,
42087,229.49,245.7,,
42088,224.74,229.49,,
42089,230.15,224.74,,
42090,229.19,230.15,,
42091,232.76,#N/A N/A,,
42092,225.5,#N/A N/A,,
42093,230.88,229.19,,
42094,227.98,230.88,,
42095,228.45,227.98,,
42096,233.07,228.45,,
42097,231.73,233.07,,
42098,231.2,#N/A N/A,,
42099,232.83,#N/A N/A,,
42100,231.95,231.73,,
42101,233.73,231.95,,
42102,228,233.73,,
42103,227.86,228,,
42104,223.22,227.86,,
42105,223.8,#N/A N/A,,
42106,223.1,#N/A N/A,,
42107,212.73,223.22,,
42108,206.2,212.73,,
42109,207.42,206.2,,
42110,213.16,207.42,,
42111,208.45,213.16,,
42112,207.6,#N/A N/A,,
42113,207.72,#N/A N/A,,
42114,208.9,208.45,,
42115,217.14,208.9,,
42116,217.97,217.14,,
42117,215.3,217.97,,
42118,213.01,215.3,,
42119,209.6,#N/A N/A,,
42120,203.96,#N/A N/A,,
42121,206.78,213.01,,
42122,205.03,206.78,,
42123,205.49,205.03,,
42124,211,205.49,,
42125,209.93,211,,
42126,210.3,#N/A N/A,,
42127,215.07,#N/A N/A,,
42128,212.98,209.93,,
42129,209.19,212.98,,
42130,207.48,209.19,,
42131,210.9,207.48,,
42132,216,210.9,,
42133,213.85,#N/A N/A,,
42134,212.92,#N/A N/A,,
42135,216.42,216,,
42136,215.1,216.42,,
42137,213.47,215.1,,
42138,207.45,213.47,,
42139,207.34,207.45,,
42140,205.69,#N/A N/A,,
42141,206,#N/A N/A,,
42142,203.48,207.34,,
42143,205.33,203.48,,
42144,207.51,205.33,,
42145,209.46,207.51,,
42146,214.5,209.46,,
42147,211,#N/A N/A,,
42148,213.49,#N/A N/A,,
42149,211.8,214.5,,
42150,214.01,211.8,,
42151,213.89,214.01,,
42152,215.2,213.89,,
42153,213.35,215.2,,
42154,211.57,#N/A N/A,,
42155,210.06,#N/A N/A,,
42156,204.91,213.35,,
42157,204.12,204.91,,
42158,202,204.12,,
42159,199.55,202,,
42160,201.3,199.55,,
42161,201.9,#N/A N/A,,
42162,200.8,#N/A N/A,,
42163,201.8,201.3,,
42164,202.57,201.8,,
42165,202,202.57,,
42166,203.26,202,,
42167,203.45,203.26,,
42168,204,#N/A N/A,,
42169,205,#N/A N/A,,
42170,209.02,203.45,,
42171,212.95,209.02,,
42172,217.8,212.95,,
42173,217.75,217.8,,
42174,215.68,217.75,,
42175,213.63,#N/A N/A,,
42176,212,#N/A N/A,,
42177,217,215.68,,
42178,216.71,217,,
42179,215.36,216.71,,
42180,214.81,215.36,,
42181,215.77,214.81,,
42182,221.87,#N/A N/A,,
42183,224.1,#N/A N/A,,
42184,228,215.77,,
42185,233.52,228,,
42186,234.31,233.52,,
42187,230.71,234.31,,
42188,230.11,230.71,,
42189,232.72,#N/A N/A,,
42190,244.45,#N/A N/A,,
42191,248.35,230.11,,
42192,242.58,248.35,,
42193,242.4,242.58,,
42194,245.3,242.4,,
42195,258.65,245.3,,
42196,262.6,#N/A N/A,,
42197,276.21,#N/A N/A,,
42198,262.53,258.65,,
42199,262.91,262.53,,
42200,264.02,262.91,,
42201,253.99,264.02,,
42202,255.81,253.99,,
42203,254.75,#N/A N/A,,
42204,253.9,#N/A N/A,,
42205,254.5,255.81,,
42206,254.41,254.5,,
42207,252.8,254.41,,
42208,251.2,252.8,,
42209,260.25,251.2,,
42210,262,#N/A N/A,,
42211,264.16,#N/A N/A,,
42212,264.6,260.25,,
42213,266.93,264.6,,
42214,264.25,266.93,,
42215,262.33,264.25,,
42216,260.63,262.33,,
42217,257.83,#N/A N/A,,
42218,257.27,#N/A N/A,,
42219,260.15,260.63,,
42220,262.54,260.15,,
42221,259.55,262.54,,
42222,256.63,259.55,,
42223,257.26,256.63,,
42224,247.01,#N/A N/A,,
42225,241.41,#N/A N/A,,
42226,241.5,257.26,,
42227,241.62,241.5,,
42228,242.99,241.62,,
42229,238.81,242.99,,
42230,241.11,238.81,,
42231,240.34,#N/A N/A,,
42232,236.35,#N/A N/A,,
42233,236.08,241.11,,
42234,230.18,236.08,,
