date,mu,rho,alpha,beta,V0,sigma_v,SSE_SV,RMSE_SV,n_obs,n_contract,exitflag,elapsed_sec
2021-11-01,0.00108833999056617,0.199756483247845,0.000454222967069312,0.713662999952903,0.00118844230222551,0.0720495626757281,0.446996132982407,0.00553072660393069,14613,3790,2,1944.16992391667
2021-11-02,0.00156782700157808,-0.222416011139005,0.000417022246020183,0.820379733092201,0.00140421959818583,0.0378423923417817,0.476974717701683,0.00556654911277991,15393,4071,2,1113.87317304167
2021-11-03,0.0011723495650288,0.999999999999961,1.07884507267507e-05,0.998028511428411,0.0011886238670069,0.00107806257427818,0.841627377526339,0.0079913232478364,13179,3473,2,808.994512333333
2021-11-04,0.00112638370915791,0.999148530898792,0.000784096235900149,0.594005181828151,0.000846530622277292,0.036033030057137,1.08335573646211,0.00887569994315695,13752,3690,2,834.469789083333
2021-11-05,0.00188919409822091,-0.135948345441714,0.000464329303548273,0.803579573906551,0.000383262817019226,0.0215462577351571,0.529458570440245,0.00567085199458812,16464,4323,2,564.706092583333
2021-11-06,0.00133385252469094,0.0664614036750095,0.000479092924786502,0.783261164345806,0.00081451313010326,0.0267502040880422,0.349760440976347,0.00593038584046833,9945,2668,2,292.798232041667
2021-11-07,0.000804460794234059,-0.181157618209091,0.000264976826973281,0.816642161806261,0.000796676284659273,0.0359702034270643,0.820485096215327,0.00936712508862664,9351,2587,2,311.543981541667
2021-11-08,0.00126227025518605,0.0302610126836033,9.80620132009172e-05,0.974786629602757,0.00145429717878422,0.0170888661930162,1.21507659775557,0.00720230151435192,23424,6341,2,736.9033635
2021-11-09,0.00159521596426845,-0.201477754427874,0.000375063362259141,0.803480264953314,0.00116604182251069,0.0237066012138751,0.802176580634028,0.00694296984558249,16641,4454,2,546.246091958333
2021-11-10,0.00202419898835578,0.158964263968193,0.000367024992399049,0.819294944031272,0.00110999594192682,0.0299914626371059,0.641336168501257,0.00554732473300033,20841,5484,2,670.423143291667
2021-11-11,0.00134442399449043,-0.759625700908977,0.000507659094259316,0.68828237456358,0.00107336351285203,0.0463302714725901,0.207727177516015,0.00420928910458185,11724,3178,2,530.306520333333
2021-11-12,0.0012697999195346,-0.00963607590517638,0.000338035637119409,0.801996046388965,0.00145683169664688,0.0248057486948502,1.08487644442185,0.00710777489954662,21474,5447,2,457.296754208333
2021-11-13,0.00178722656188208,0.340878134282151,0.000481221486620357,0.821589975623067,0.000589667270801093,0.04957612046785,0.260359267190889,0.00570659808357096,7995,2167,2,185.086727
2021-11-14,0.000979001627756363,-0.999999999999499,0.000986556208117874,0.451428474843262,0.00116545038109081,1.10380118026668e-08,0.380906267163514,0.00724636629857725,7254,1955,3,328.608762291667
2021-11-15,0.001425213616454,-0.180821287699007,0.000743969378886054,0.636796469939819,0.000707448113448195,0.0244084155789411,0.35203388752338,0.00510482237236082,13509,3675,2,1624.32815883333
2021-11-16,0.000916004994059416,0.258633815558709,3.30857612549601e-05,0.972563539633731,0.00234613296009675,0.0133176098150469,2.31164867902046,0.00871170368620683,30459,7961,2,690.164785041667
2021-11-17,0.00136579635126248,-0.987933667274693,0.00059608484884689,0.711927111275353,0.00134713567844081,0.0237501452669281,0.475520139962283,0.00523265444470612,17367,4646,2,432.290763041667
2021-11-18,0.00152713640247513,0.14400003175705,0.000278415313087259,0.837702221274731,0.00192732596720092,0.0333808912264879,1.81414226756075,0.00879538769591004,23451,6158,2,451.622201166667
2021-11-19,0.00111602767951002,0.547224624781767,0.000605086361603662,0.686964308431811,0.000928919861059087,0.0274006910198723,1.71615352552405,0.00920179641745412,20268,5330,2,1665.898622375
2021-11-20,0.00215813870370432,0.300258728841471,0.000147436333547461,0.954228585803107,0.000674474653633642,0.0201943715331415,0.584635651438863,0.00735750845658934,10800,2783,2,327.638509375
2021-11-21,0.000879874609640608,-0.250113580251968,0.000583969864399728,0.72328209787196,0.000812443372415626,0.0309326917834476,0.394182047087998,0.00659387276741061,9066,2388,2,447.6284855
