mu,rho,alpha,beta,V0,sigma_v,LL
-0.00159752582830731,0.432014068026802,0.0020018288603425,-0.827534364973561,0.00253799567230079,0.0643262110124092,595.317887896201
-0.00196961545856747,0.539294063567572,0.0014009978127718,-0.48870600336396,0.00253799567230079,0.0643262110124092,597.834884141369
0.000315034725173999,0.526683622779166,0.00187663330303472,-0.538314076600525,0.00253799567230079,0.0643262110124092,602.381684774976
0.00499822050594754,0.526683622779166,0.00198450143998627,-0.693066474074514,0.00253799567230079,0.0643262110124092,600.090587608884
-0.000438217899653775,0.526683622779166,0.00164730696014109,-0.581571807954078,0.00253799567230079,0.0643262110124092,605.390048413293
-0.00278641636490484,0.526683622779166,0.0017291681050773,-0.620703290979954,0.00253799567230079,0.0643262110124092,606.673090684365
-0.00215061987716358,0.487889370922009,0.00185336476489936,-0.831737136435491,0.00253799567230079,0.0643262110124092,605.332861758186
-0.00382257505819606,0.427536254215483,0.00193988331475064,-0.514812628970182,0.00501854379218325,0.0643262110124092,601.39735236848
0.00121864063304836,0.514176987639303,0.00180461194977516,-0.750056018611406,0.00501854379218325,0.0643262110124092,604.306085674283
-0.00260811462238716,0.484882976831044,0.00166335018695049,-0.620401621211507,0.00501854379218325,0.0643262110124092,604.847746200216
-0.00184795789988151,0.485077775707136,0.00182211772156104,-0.465264578255926,0.00501854379218325,0.0643262110124092,602.560892122607
0.0028046116973873,0.546688612201955,0.00179834971487672,-0.695947384966795,0.00501854379218325,0.0643262110124092,602.254603127659
-0.00345544776219044,0.586985588362073,0.00178017374051862,-0.613983471423132,0.00501854379218325,0.0643262110124092,603.39607597784
-0.000154903624589644,0.635543802440539,0.00199596218660617,-0.725421852811542,0.00501854379218325,0.063210715710062,602.399073439255
0.000606766447716702,0.578307803390318,0.00187388883422881,-0.555480542774015,0.00501854379218325,0.063210715710062,602.175706720401
0.00484471329701932,0.487910094162787,0.00214144971097523,-0.504211461081274,0.00501854379218325,0.061050369886174,598.397809711418
0.000939421895104012,0.477835837227208,0.00171514153214693,-0.500846147200206,0.00501854379218325,0.061050369886174,603.95461248176
0.000916832093071541,0.498219497537345,0.00175539123655283,-0.570286090851194,0.00501854379218325,0.061050369886174,604.469851784909
-0.00125285835198741,0.501785143909951,0.00171534967666981,-0.660388803876677,0.00501854379218325,0.061050369886174,605.451804397728
0.00197916216285802,0.408994529066217,0.00187974149007256,-0.536479344495255,0.00501854379218325,0.061050369886174,604.337721236225
0.000956927769961626,0.514716922911308,0.00166899754331091,-0.392894181524032,0.00501854379218325,0.061050369886174,604.062113441797
-0.00365363162340056,0.469023304050926,0.00179643296285203,-0.616386210838148,0.00501854379218325,0.071584820805263,602.319717114424
0.00445085063189995,0.43903008774634,0.00208262484513144,-0.691348123255466,0.00501854379218325,0.071584820805263,602.051820027102
-0.00117383365350922,0.463523853195685,0.00180265415412172,-0.557785589157426,0.00501854379218325,0.071584820805263,603.586049978465
0.00127945697715498,0.458633674911554,0.00170750248174303,-0.693904463267286,0.00501854379218325,0.071584820805263,604.060962527788
-0.000165674159913277,0.573900173986816,0.00154269895911438,-0.422885778794362,0.00501854379218325,0.0735164633348044,599.620600202907
-0.00131306662978256,0.532405385949769,0.00184030211005674,-0.606980120923959,0.00501854379218325,0.0735164633348044,601.828558558189
-0.000614832876803431,0.521395936078522,0.00197089941792644,-0.816271053339952,0.00501854379218325,0.07042785669959,600.592646275764
-0.000377998291563038,0.544918654032198,0.0023128342485191,-0.857726414266652,0.00501854379218325,0.07042785669959,598.199564376438
0.00297117031009229,0.515182117062507,0.00209201752551145,-0.799968716221084,0.00501854379218325,0.07042785669959,602.527539451309
0.00509107899010855,0.566329979993933,0.00198425010208057,-0.579719159721267,0.00501854379218325,0.07042785669959,601.054237675509
-0.00167505435441741,0.504780839371395,0.00205312109496581,-0.837180306886557,0.00501854379218325,0.07042785669959,599.799374291458
-7.32363250989721e-05,0.440254063604724,0.00211282609395269,-0.733241075584656,0.00501854379218325,0.07042785669959,602.140255434715
0.00327256595812687,0.436719550053656,0.00234790515385424,-0.792590027191683,0.00501854379218325,0.0687728700339906,603.434326141444
0.00419832715564217,0.44395280346461,0.00236290607541834,-0.736498046387381,0.00501854379218325,0.0687728700339906,603.0598394262
0.0088338553957088,0.385807584099647,0.00212256693264008,-0.679618637050249,0.00501854379218325,0.0687728700339906,599.065498337738
0.000670179672957583,0.391405019141186,0.00214833976886888,-1.01254537108015,0.00501854379218325,0.0687728700339906,605.631874699289
0.00317978923949994,0.391405019141186,0.00224861701786032,-0.650671235171481,0.00501854379218325,0.0687728700339906,605.39542212399
-4.77452491304143e-05,0.391405019141186,0.00225697429176859,-0.813381432792341,0.00501854379218325,0.0687728700339906,605.974523960598
0.00133687831058614,0.391405019141186,0.00192140520908638,-0.896744620846077,0.00501854379218325,0.0687728700339906,607.834292009135
0.00129043297016578,0.362529645799099,0.00200458848681464,-0.688616087175344,0.00501854379218325,0.0687728700339906,607.40645160808
0.003994345349706,0.373336613221948,0.00231786783554175,-0.897333656172691,0.00501854379218325,0.0687728700339906,606.362895880702
0.0050745274872583,0.311676224401067,0.00235024868156389,-0.855658195280116,0.00501854379218325,0.0687728700339906,606.348927132329
0.000920578562118295,0.311676224401067,0.0017277016013589,-0.613502145993324,0.00501854379218325,0.0687728700339906,606.272904982644
0.00269687081398383,0.29975953400478,0.001979340871149,-0.673121390822188,0.00501854379218325,0.0687728700339906,608.052955949886
0.00346201740116696,0.277217603263014,0.00213717248567428,-1.11710769992266,0.00501854379218325,0.0687728700339906,607.341067583416
0.00039059089081332,0.311018204086431,0.00200562999284641,-1.0926549644203,0.00501854379218325,0.0687728700339906,610.218021987415
0.0016047626918534,0.275647244289338,0.00210436712301559,-0.906092079375734,0.00501854379218325,0.0687728700339906,611.55255751806
0.00288873455784139,0.195842194747379,0.00186008334288238,-0.88158034026662,0.00501854379218325,0.0687728700339906,607.309776219324
0.00286629109413935,0.29170640748711,0.00209308877680802,-0.871345827787959,0.00501854379218325,0.0687728700339906,609.572057054972
0.00362449849597837,0.248403061320555,0.00218268936554958,-1.05587047769677,0.00501854379218325,0.0680127700255517,608.474689056412
0.0025444363613088,0.296612322930501,0.00243973205458498,-0.975202789902052,0.00501854379218325,0.0680127700255517,607.470042619555
0.00458493057214426,0.341134496721338,0.00249078746396728,-0.872571923824096,0.00501854379218325,0.0680127700255517,607.131806970961
0.00590946102607948,0.241182665570811,0.00220839353441293,-0.858962215898228,0.00501854379218325,0.0680127700255517,608.666286642752
0.00123504722742333,0.277978024930116,0.00234850520672515,-1.04200160713759,0.00501854379218325,0.0680127700255517,609.99023681224
0.00296597905636239,0.27846807511436,0.00221132669046941,-0.967730423894958,0.00312900634303444,0.0680127700255517,611.484496810644
0.000360471178175299,0.27846807511436,0.0018965348626848,-0.701939986444126,0.00312900634303444,0.0680127700255517,613.590966726673
0.0020683117085766,0.297382749878362,0.00201426933660164,-0.872864996395783,0.00770316058489334,0.0652668420727646,613.573588233319
0.00309511122225991,0.297382749878362,0.00240001934275821,-1.052030322437,0.00770316058489334,0.0652668420727646,611.769406897126
0.0036109948582421,0.297382749878362,0.00215224445415284,-0.993771050767273,0.00770316058489334,0.0652668420727646,614.335884034846
0.000386483656144238,0.297382749878362,0.00207436487377751,-0.502922575009891,0.00770316058489334,0.0652668420727646,611.543268020023
-2.73200000738445e-05,0.326777477153685,0.00216224406203636,-1.01628641472659,0.00770316058489334,0.0652668420727646,616.256099970577
0.000898581462928834,0.294208017271761,0.00208004873085862,-0.652179951980168,0.00770316058489334,0.0670727535906044,612.965481562637
0.00140217263944203,0.290497930623474,0.00213418473352486,-0.70516750428317,0.00770316058489334,0.0609945912981725,614.622516912426
0.00247236191383063,0.314457053132588,0.00201858702277548,-0.654752943983432,0.00382332079744767,0.0609945912981725,616.584681098824
-0.000270997649710124,0.228655056013787,0.002039485166228,-0.972643879889299,0.00382332079744767,0.069704413414951,614.759829405532
-0.000731702237389499,0.32596832146913,0.00213255288827144,-0.660426720506567,0.00382332079744767,0.0655394974583163,614.064465476651
0.000579092205751944,0.32596832146913,0.00207160018617076,-0.822971246917407,0.00382332079744767,0.0655394974583163,613.867980715072
-0.000165967566064489,0.32596832146913,0.00188309932179014,-0.674702715691558,0.00382332079744767,0.0660222532961634,613.965119525573
0.00190915685853938,0.293815661389786,0.00176094559262931,-0.77360230447268,0.00382332079744767,0.0660222532961634,612.969009963356
0.00054437760992511,0.273050743466015,0.0019620433311126,-0.820909598553332,0.00382332079744767,0.0660222532961634,614.197884482876
-0.00346847033338176,0.258833045103341,0.00195390841890702,-1.0015873765242,0.00382332079744767,0.0660222532961634,612.074015463555
-0.00139594560356163,0.258833045103341,0.00196270613091973,-0.868219997045444,0.00382332079744767,0.0682537182956022,613.442490789628
-0.00103237198646192,0.232772521928603,0.00204875059129393,-0.921278410052006,0.00382332079744767,0.0619956133653365,613.743302145697
-0.00270464692744012,0.195951028156996,0.00214836392233509,-0.740066390552759,0.00382332079744767,0.0619956133653365,611.196297327101
0.00497221220424429,0.166297575064879,0.00203384935060533,-1.14439856298116,0.00382332079744767,0.0619956133653365,610.605739739288
-3.45514936276497e-05,0.211047344721481,0.00198922895225046,-1.0005468386129,0.00382332079744767,0.0619956133653365,614.13250827606
0.00297531468154064,0.261060823378264,0.00183742485214038,-0.782396897764126,0.00382332079744767,0.0619956133653365,616.045942545632
0.00162227640760741,0.243676536636432,0.00208967318282574,-1.32966929963712,0.00382332079744767,0.0619956133653365,615.392498319834
0.00122552931876841,0.307269145651885,0.00191656461075026,-0.884450230171533,0.00382332079744767,0.0619956133653365,619.276556442328
0.000984432660900035,0.277240896249382,0.00184657808367147,-1.08149520413277,0.00382332079744767,0.0619956133653365,617.455481592502
0.00136085347079907,0.283810394541147,0.00208449088112477,-0.940806469517267,0.00382332079744767,0.0619956133653365,618.757011543338
0.00494250633866188,0.303569492583277,0.00207505943597853,-0.997634067029568,0.00382332079744767,0.0619956133653365,617.614077376516
0.00273408244368668,0.311453638015124,0.00183704034297461,-0.730586818311069,0.00382332079744767,0.0619956133653365,619.922456296232
0.000440324542929682,0.313265409448584,0.00178052546013691,-1.03592762981385,0.00382332079744767,0.0619956133653365,618.948039360186
-0.00210269702605474,0.324204936745559,0.00169340062620839,-0.895852204814928,0.00382332079744767,0.0619956133653365,622.053244351715
0.00122861050024453,0.323155285576251,0.00191896638726972,-0.905677116589832,0.00382332079744767,0.0619956133653365,623.124256785892
0.000855812530726276,0.326518052084077,0.00172751196145421,-0.79401801398331,0.00382332079744767,0.0619956133653365,622.12478903251
0.0021131047729684,0.352851872870511,0.0018679307777963,-0.92635602049221,0.00382332079744767,0.0619956133653365,622.61194713186
0.000518149901536286,0.364243646576283,0.00169923623639504,-0.783156123839497,0.00382332079744767,0.0619956133653365,621.928162336052
-0.00219196651336506,0.389873706326384,0.00186453091508227,-0.954090072894081,0.00382332079744767,0.0619956133653365,621.561960889439
0.00382897826717618,0.345110402728812,0.00199003669583436,-0.866841271482908,0.00382332079744767,0.0498638812054672,614.84495941499
0.000708500989154041,0.32658725674249,0.0020330700624263,-0.934469107131429,0.00382332079744767,0.0565547418666223,620.080767811222
-0.000677263782059776,0.281648834359741,0.00199038017573495,-1.15153429908188,0.00382332079744767,0.0565547418666223,619.865291034639
0.00184553884389636,0.287184064173862,0.00195241832826701,-0.717726479502939,0.00382332079744767,0.0565547418666223,620.274534776701
0.00142504960526347,0.223021398618607,0.00200379817130006,-0.890138880744871,0.00382332079744767,0.0565547418666223,621.337559081198
0.00232299401439806,0.264908137843521,0.00208072719575793,-0.995071922221311,0.00382332079744767,0.0565547418666223,620.397077977772
-0.00113271168372382,0.264908137843521,0.00211118732403623,-0.787278479017369,0.00382332079744767,0.0565547418666223,618.185388677737
0.00334822228560167,0.350172087240518,0.00227435166733838,-1.04587502429566,0.00382332079744767,0.0578407896072143,619.470554523123
0.00306800379115079,0.347033312807488,0.00194765246739217,-1.07199816742415,0.00382332079744767,0.0578407896072143,620.424046900448
0.00189847892694586,0.352111915548239,0.00192754553243953,-0.934203136537093,0.00382332079744767,0.0578407896072143,621.10472419374
0.000882129343811822,0.379302663240549,0.00177002797859514,-0.865188672602348,0.00382332079744767,0.0578407896072143,620.164945926004
-0.00293329724746629,0.379302663240549,0.00176062678880966,-0.914939969584746,0.00382332079744767,0.0578407896072143,618.602611478011
-0.00149006159996444,0.366996679383849,0.00172482542436483,-0.659521912071398,0.00382332079744767,0.0578407896072143,618.847477804005
-0.00465506175184866,0.449287075141455,0.00165456367222299,-0.719139612467319,0.00382332079744767,0.0578407896072143,617.816136118226
-0.00167899574260003,0.447940752759253,0.00186100004451103,-0.918195341395704,0.00382332079744767,0.0639501684149206,618.342006484512
1.62530314769648e-06,0.499956733523347,0.00191043769048528,-0.962045972982648,0.00382332079744767,0.0639501684149206,615.589984283225
0.000661322544859805,0.43480213400357,0.00179816735213643,-0.740320034235736,0.00382332079744767,0.0639501684149206,615.446259274587
-0.00102308231385388,0.41886588047195,0.00171297997856024,-0.781323450830593,0.00382332079744767,0.0639501684149206,613.271087688469
-0.000568301032363717,0.41607787374303,0.00190360248399336,-0.813070995618977,0.00382332079744767,0.0639501684149206,615.348103878851
0.000965292452510369,0.450573869915178,0.00211646395509453,-0.619181116848009,0.00382332079744767,0.0639501684149206,614.222406796019
0.00245100736055499,0.468593729757086,0.00190353536824058,-0.625461446055702,0.00382332079744767,0.0639501684149206,618.737476408228
0.00103618613714739,0.510117343564207,0.00180974281620034,-0.806529295830328,0.00382332079744767,0.0639501684149206,619.267640455001
-0.00159863827687675,0.501573837027945,0.0017048433157281,-0.687549842244702,0.00382332079744767,0.0697847168432912,614.745200633455
0.000506459563341534,0.501573837027945,0.00193470492443684,-0.565320792781102,0.00382332079744767,0.0673447973867503,614.789579807547
0.000145981557626632,0.472577522722148,0.00175094249609479,-0.765967051275995,0.00382332079744767,0.0673447973867503,616.323456645797
0.000242716019315224,0.525806777241419,0.00185454745826937,-0.905673127195027,0.00382332079744767,0.0673447973867503,616.949371800575
-4.11726013362424e-05,0.525806777241419,0.0020445053867196,-0.976780156960275,0.00382332079744767,0.0673447973867503,615.015272525893
0.0013319423080672,0.507628774742464,0.00175500561875315,-0.593010917867419,0.00382332079744767,0.0673447973867503,615.582380557593
0.00163408661648731,0.507628774742464,0.00199860033937994,-0.698891406498441,0.00382332079744767,0.0686294526646767,615.898119320406
-0.00147639866739176,0.529919636405186,0.00181233743831327,-0.744229157851207,0.00382332079744767,0.0686294526646767,615.770866080397
0.000223893537479096,0.489977325500434,0.00206909988907768,-0.992663735152196,0.00382332079744767,0.0686294526646767,609.602611965186
0.000344823016599794,0.510126704450689,0.00183045338447926,-0.652873128997801,0.00382332079744767,0.0803426039911918,609.440669574396
-0.000334118359760127,0.548345202891434,0.00195777643077272,-0.574503041963409,0.00382332079744767,0.0803426039911918,608.65457606024
-0.000663244924473966,0.544111019407664,0.00201324296371774,-0.920392259449994,0.00382332079744767,0.0803426039911918,608.392797563861
-0.00255034622873115,0.552557740939065,0.00161352146982207,-0.665652244412449,0.00382332079744767,0.0803426039911918,608.313651088307
-0.00120673726746557,0.518743394350698,0.00176488680812967,-0.831991364688737,0.00382332079744767,0.0803426039911918,608.807084719716
0.00212841209910872,0.49251114990237,0.00160145158364681,-0.729477566161284,0.00382332079744767,0.0803426039911918,603.223709401377
-0.00114270210796671,0.463165631776103,0.00183149638936202,-0.552126788935358,0.00382332079744767,0.0700557119988379,605.859036010131
0.00315450277601743,0.475451056631039,0.0020861906783966,-0.595234220770574,0.00382332079744767,0.0755397268319338,604.470861549423
0.0037465274638282,0.473369136499069,0.00219409136295929,-0.702829856186138,0.00382332079744767,0.0779768200567308,602.3385719964
0.00390692669918626,0.445358562649752,0.0018711331169678,-0.773144985611667,0.00382332079744767,0.0732446258982403,607.107322999672
0.0040417503658364,0.445358562649752,0.00180470519664631,-0.793533836599425,0.00382332079744767,0.0732446258982403,606.357569485543
0.00160981348855485,0.41204592466117,0.00180849307899135,-0.852900542103792,0.00382332079744767,0.0732446258982403,608.452093663518
0.0035980546838362,0.441544130521541,0.00204263313118591,-0.850440725290683,0.00382332079744767,0.0732435438019074,605.041949175678
-0.00329438612760733,0.404334558577899,0.00185676439177711,-0.730846921688179,0.00382332079744767,0.0732435438019074,605.406145953758
