Model,Mean,Std,Min,Median,Max
BS,0.0214862880871943,0.00386261491977897,0.0139692146355706,0.0213946211389925,0.0329476883572674
SV,0.00647647000833061,0.00182814877796425,0.00342105349407359,0.00607966428170275,0.0110339023813632
SVJ,0.00569983766453666,0.00144970504485762,0.00349881454800231,0.00542084701655307,0.0113241228911099
SVCJ,0.00711806364272845,0.00209282523239562,0.00317221470700697,0.0066746414376191,0.0137118686418092
