date,BS,SV,SVJ,SVCJ
2021-11-01,0.0259417106565862,0.00553072660393069,0.00483915035297504,0.008286265865037
2021-11-02,0.0296286067086316,0.00556654911277991,0.00758020247107921,0.00690874701813685
2021-11-03,0.0274370219813846,0.0079913232478364,0.00573735613019185,0.00932697554343007
2021-11-04,0.0247543605822163,0.00887569994315695,0.00627531252714296,0.00470286164285812
2021-11-05,0.0204917653356422,0.00567085199458812,0.00424196385578179,0.00626079378462162
2021-11-06,0.0236320123331996,0.00593038584046833,0.00577208834245905,0.00720768999140959
2021-11-07,0.0271017747793613,0.00936712508862664,0.00598747002661171,0.00923542011333602
2021-11-08,0.0293300710229457,0.00720230151435192,0.00514918971904946,0.00686310684669365
2021-11-09,0.0272526266656727,0.00694296984558249,0.00735624665657063,0.00905626387866871
2021-11-10,0.0232170088057511,0.00554732473300033,0.00730634268603042,0.00655040597309869
2021-11-11,0.0213377856090516,0.00420928910458185,0.00397599840156546,0.00489397228128026
2021-11-12,0.0181728419997379,0.00710777489954662,0.00563285108100786,0.0114000454328812
2021-11-13,0.0273411078134721,0.00570659808357096,0.00616736897989973,0.0091700364182439
2021-11-14,0.0232141923458669,0.00724636629857725,0.00374579023250475,0.00567324955578159
2021-11-15,0.0184955750270532,0.00510482237236082,0.00525242053644086,0.0077789003363201
2021-11-16,0.0260597399320639,0.00871170368620683,0.00552446071054841,0.00593248591882048
2021-11-17,0.0220105512889404,0.00523265444470612,0.00523217066285285,0.00539395743171539
2021-11-18,0.0224933173394158,0.00879538769591004,0.00653538252542192,0.00822823523806968
2021-11-19,0.0251517541646523,0.00920179641745412,0.0088752638266083,0.0112132423970035
2021-11-20,0.0179445986335544,0.00735750845658934,0.00564637623571835,0.00540083161608055
2021-11-21,0.0165480971115333,0.00659387276741061,0.00349881454800231,0.00398933525133029
2021-11-22,0.0227035560454489,0.00506851706906065,0.00558032064763186,0.0052672013727188
2021-11-23,0.0195425941734024,0.0109153546977085,0.00480831068798135,0.00594406248448862
2021-11-24,0.0196883057339705,0.00933844308804979,0.0050491103260833,0.00524352501032927
2021-11-25,0.0237409973532617,0.00840528190229655,0.00714809495953712,0.00558723201719018
2021-11-26,0.0249363516738902,0.00613610966354142,0.00621946828694225,0.00543591707299175
2021-11-27,0.0207241981700349,0.00569293917685794,0.00587981293658244,0.00574857832092954
2021-11-28,0.0262395697975209,0.00614207962206223,0.00576719920005219,0.00604046779601747
2021-11-29,0.021005149140635,0.00614783916479065,0.00468742628563689,0.00589872715255724
2021-11-30,0.0197739131352644,0.00952128459917406,0.00580516107278491,0.00627052204964317
2021-12-01,0.0243026999813541,0.00554871283756905,0.00486877067419651,0.0057576806326984
2021-12-02,0.0211469969996271,0.0100759711944748,0.006537371309353,0.00944232128329227
2021-12-03,0.0223562032036177,0.00905170811686656,0.00618770957746659,0.00796318472642239
2021-12-04,0.0283606362564377,0.0110339023813632,0.0113241228911099,0.0137118686418092
2021-12-05,0.0329476883572674,0.00695127645864797,0.00795972168477821,0.0103142402824681
2021-12-06,0.0265751708720697,0.00780530895487208,0.00484824631821642,0.00762819012494108
2021-12-07,0.0267231778600595,0.00554388369203407,0.00766737471400129,0.00545952464065711
2021-12-08,0.0248502103251318,0.00782252260195926,0.00997554692250712,0.00975067778041343
2021-12-09,0.0227425136338934,0.00453361754346482,0.00563425210079276,0.00702409407771751
2021-12-10,0.0217654722029035,0.00863643682650561,0.00826675975976919,0.0114297128753862
2021-12-11,0.0217166240580456,0.00553575781977461,0.00432874367910084,0.00571021342405289
2021-12-12,0.0217691004509292,0.00642990333217375,0.00540821957631436,0.00647768446442858
2021-12-13,0.0268177064754639,0.00686651539435294,0.00884147907310511,0.0073163234288017
2021-12-14,0.0220135282886486,0.00779333722899551,0.00449277031801244,0.00686322580809615
2021-12-15,0.0176116658990067,0.00523328282167604,0.00625083555588762,0.00437741145976788
