V0,mu,alpha,beta,sigma_v,mu_y,sigma_y,rho,rho_j,mu_v,lambda,LL
0.00271854422024854,-0.00470096637479995,0.00258346741707654,-0.84934400835166,0.0694305091148743,-0.00277376963042872,0.7950795692902,-0.900108611795522,-3.10513145608409,0.147697436804374,0.0426199748247078,487.478799056048
0.00271854422024854,-0.00431793660332791,0.0031365761003611,-1.12111887692315,0.0694305091148743,0.109333227283039,0.821426638304859,-0.955222334252427,-2.72155625664003,0.185347648692702,0.0205012097715053,520.009094637806
0.00271854422024854,-0.00674818409542491,0.00309827393937268,-1.03205029280397,0.0694305091148743,0.0116094546934513,0.732250899657745,-0.938697683834886,0.0767409027083216,0.138176971170966,0.00560622192944829,476.094198860881
0.00271854422024854,-0.00896459254223022,0.00317110019320089,-0.930744060173232,0.0718732229630488,0.0865399002673574,0.749729162420027,-0.938697683834886,-0.415409555594465,0.130825784922795,0.0252013540958606,471.652560317036
0.00271854422024854,-0.0119030279987415,0.00353569812075708,-1.03642648004555,0.0718732229630488,-0.045523191910493,0.670951840261749,-0.938697683834886,-0.0648604113951234,0.154561608367086,0.0306315153891754,475.460970024278
0.00271854422024854,-0.0139239720676371,0.00362293100213193,-1.01874660674415,0.0718732229630488,0.026470011158732,0.801008999731365,-0.938697683834886,-1.27056417472718,0.180068419681543,0.0111288859406039,515.066263702054
0.00271854422024854,-0.0122386166190335,0.00329125104926193,-0.979918408374105,0.0718732229630488,-0.0206716604959702,0.769476318549081,-0.939026137139725,1.40754195736668,0.138951921708925,0.0176782837936933,481.520933493808
0.00271854422024854,-0.0109003936369647,0.00350992501686581,-1.123334940376,0.0718732229630488,-0.0963045413474296,0.67671814761456,-0.939026137139725,-0.780582048119811,0.141971027446801,0.016537520986268,465.661608260176
0.00271854422024854,-0.0121505705034097,0.00324555869772154,-0.909245424665622,0.0718732229630488,-0.0615696222048543,0.741555992922262,-0.939026137139725,0.397500720961217,0.150964157029962,0.00597524303916869,488.513414767057
0.00271854422024854,-0.00991505310343855,0.00337360791877418,-1.06818972549547,0.0718732229630488,-0.0579515453000097,0.707866470232035,-0.939026137139725,-0.359802453077246,0.164089768187461,0.0208103557311999,492.469429364413
0.00271854422024854,-0.00985572520517434,0.00320195241623472,-0.970600770632206,0.0718732229630488,0.0573822699040094,0.942307280900993,-0.939026137139725,-0.531317107642231,0.182481092883449,0.0221625708821843,535.787895398372
0.00271854422024854,-0.00775415132040999,0.00324555254893641,-1.0263368049709,0.0718732229630488,-0.0128562222870788,0.677890457472926,-0.939026137139725,-0.979430360086537,0.151275372322731,0.017803161833307,477.027334834038
0.00271854422024854,-0.00972324209320282,0.00299731100946733,-0.865177450757528,0.0718732229630488,0.00554975832822375,0.7090148970622,-0.939026137139725,0.870890623851739,0.142906691887756,0.0127029994455619,475.417979871307
0.00271854422024854,-0.00671738271308573,0.00286475439477411,-0.908542317212867,0.0718732229630488,-0.224122231211416,0.783719384120825,-0.939026137139725,3.5766276184855,0.142179707751695,0.00314348140562499,487.022098314302
0.00271854422024854,-0.00394748117379085,0.00276233449162724,-0.911542857079021,0.0718732229630488,-0.126104062026797,0.786870156249215,-0.939026137139725,1.19593816704201,0.155267256001923,0.00760168117673675,501.170689395058
0.00271854422024854,-0.00436721815310809,0.00282851244891254,-0.907889796867198,0.0718732229630488,-0.15824333752152,0.815023593461156,-0.939026137139725,-0.579263683284241,0.165550020177083,0.0301411704957531,514.516780409104
0.00271854422024854,-0.00546642258569053,0.0031695077680611,-1.01843742961051,0.0718732229630488,-0.123058174393959,0.768409326485945,-0.939026137139725,-0.589232285544874,0.145852327880455,0.0325825192168656,491.302915066114
0.00271854422024854,-0.00862617430902515,0.00300339288116815,-0.832775636695678,0.0711718837358429,-0.0870715301236468,0.601583863248021,-0.942935746322782,-1.34259260488863,0.156262917540775,0.0168828130044492,460.369481604459
0.00271854422024854,-0.00957444454499453,0.00314917582079697,-0.961199175250847,0.0655059262625844,0.0788875691939344,0.685840375795259,-0.942935746322782,-1.61986417737003,0.164441445245877,0.0167974271090438,492.728130626542
0.00271854422024854,-0.00923544536226785,0.00303832975648342,-0.910045546362635,0.0655059262625844,0.0308605255931901,0.714853990553953,-0.943530678561036,-1.88735680691273,0.134874936957088,0.00825591811954729,472.18237588042
0.00271854422024854,-0.00719179052379331,0.00307181442586569,-0.971671925472598,0.0655059262625844,0.0350885293998517,0.729671309065311,-0.934110254265646,0.194812292228208,0.14157095048295,0.00167787749944475,480.258631848915
0.00271854422024854,-0.00717606084419732,0.00293968765848419,-0.894043991438936,0.0692368033248704,-0.0404340022415131,0.839252938428323,-0.934110254265646,0.558119749816584,0.165674601900009,0.00216585949344347,516.367220708815
0.00271854422024854,-0.00875852446705859,0.00318565571030225,-0.973537007218965,0.0692368033248704,-0.163643468552811,0.65800337965886,-0.934110254265646,1.76151130171488,0.148352606915387,0.0209715910522663,471.936971628016
0.0055838039340608,-0.00861329288812239,0.00324006247674823,-0.971017078409873,0.0692368033248704,-0.0514173862544861,0.721074035289858,-0.934110254265646,2.22659859412023,0.148366665733078,0.013023073681492,481.400741132722
0.0055838039340608,-0.00864481259375256,0.00296897688970335,-0.969433922629475,0.0692368033248704,-0.0443626086994005,0.811152607764445,-0.944591533523813,0.315410856426608,0.148870460315172,0.00982797988638237,495.647890956428
0.0055838039340608,-0.00586827151280149,0.00268686621664219,-0.887933455951053,0.0692368033248704,0.0377923246206155,0.72174496967301,-0.944591533523813,-0.665888439017267,0.158313123336743,0.0220299582425514,492.980963150566
0.0055838039340608,-0.00565080373475313,0.00313725362351237,-1.03553454451565,0.0692368033248704,0.0784367965411251,0.678669686753934,-0.944591533523813,-1.17511470465449,0.131721919911451,0.00615485821201741,460.314157167279
0.0055838039340608,-0.00721068709073589,0.00281266267539454,-0.832873291702602,0.0663756882495962,0.0279388822591975,0.717697854917088,-0.944591533523813,-0.812501417136366,0.178168986262703,0.00837623226988114,504.604345209636
0.0055838039340608,-0.00744653477758963,0.00287883630120905,-0.83294402078909,0.0663756882495962,0.14672380566682,0.769216075209764,-0.944591533523813,-3.08039428458585,0.143853794526786,0.0372931610112735,489.052409535817
0.0055838039340608,-0.00805958806504436,0.00316509508758664,-0.986918622076861,0.0663756882495962,0.0746240479161164,0.760873642846381,-0.942410340429463,-0.316528363721686,0.147213308195718,0.0168939004877705,492.880954079454
0.0055838039340608,-0.00743543694264207,0.00309624586050857,-1.01000325114641,0.0663756882495962,0.1378609629533,0.785073680227717,-0.942410340429463,0.772452435189376,0.163747477774796,0.016216870048138,508.196914954619
0.00403577266290943,-0.00551691712837405,0.00284364167802579,-0.893304589181922,0.0663756882495962,0.00311256726763134,0.754560700537454,-0.9440036474044,0.576684967792109,0.158279361705959,0.0169843240522433,500.067339750011
0.00403577266290943,-0.00679993593579429,0.00317015287861642,-0.98750014472498,0.0680368450648831,-0.0331650898606314,0.698817841754721,-0.9440036474044,-0.31033114643225,0.179722309766599,0.00945576126893565,502.037178130299
0.00403577266290943,-0.00920951577255207,0.00340581936695499,-0.983643355194592,0.0680368450648831,-0.0312916089369818,0.711910087451383,-0.948238518173355,0.203561671875258,0.15607284606936,0.0309093277643146,485.576609822404
0.00403577266290943,-0.00914559924537639,0.00320327353892262,-0.946701058727606,0.0680368450648831,-0.0513655196649218,0.733675072330649,-0.948238518173355,-0.624786878128437,0.135781120362435,0.00559344121494971,471.802414773006
0.00320267665533297,-0.00637279727089804,0.00295108197551635,-0.943631051341829,0.0680368450648831,-0.0241217966347352,0.659673124534714,-0.948238518173355,1.60941517362194,0.159321594127583,0.00672234095362365,478.506285422281
0.00320267665533297,-0.00423386727344198,0.00317688790978391,-1.06581532624105,0.0680368450648831,-0.162279343979703,0.702590442234497,-0.947330351668201,1.81145137942839,0.155550126274015,0.015118525762356,485.954386503792
0.00320267665533297,-0.00571282507648687,0.0030958905875485,-0.998087416840213,0.0680368450648831,-0.0330013594225298,0.6855488222763,-0.947330351668201,0.754925761375004,0.154000005875014,0.00355723738975185,482.17230453721
0.00320267665533297,-0.00588593147989724,0.00321868726164061,-1.05230183637824,0.0680368450648831,-0.178540356988674,0.784519714586874,-0.947330351668201,1.15776039012788,0.171226600751107,0.0148378599997714,513.650385967036
0.00320267665533297,-0.00634437089112899,0.0028485643623348,-0.841073485822357,0.0680368450648831,-0.0599602082287725,0.830789432112072,-0.947330351668201,0.756371366495842,0.157878182316667,0.0472565647431523,509.956747782387
0.00320267665533297,-0.00618109836470998,0.00340721770334839,-1.09498349616351,0.0680368450648831,-0.143147379902308,0.789963071929903,-0.947330351668201,1.8774184591043,0.16244613717565,0.00451313483408986,506.84022124566
