date,mu,rho,alpha,beta,V0,sigma_v,lambda,mu_y,rho_j,sigma_y,mu_v,SSE_SVCJ,RMSE_SVCJ,n_obs,n_contract
2021-11-01,-0.000222692890933797,-0.882742824529888,0.0024167213818162,-2.21947281678638,0.00265760820267554,0.0649049360067836,0.0067,0.280581063719179,-1.05878499734884,0.309723984235266,1.37691419388036e-06,0.465535168623612,0.00564425407772032,14613,3790
2021-11-02,0.000381040873308928,-0.898177147649128,0.00352464468852128,-2.00598624220036,0.00333924369894319,0.0661289379155781,0.0067,0.135502792441925,-1.05338392798812,4.0790468824429e-14,0.00206509424828844,2.06795564539703,0.0115906815815795,15393,4071
2021-11-03,0.000348291582742721,-0.852879356599143,0.00281954921241741,-2.38796404401034,0.0024621180322644,0.080173182597722,0.0067,0.102158754617875,4.49567745661637,3.30340143864957e-14,0.0286275529494232,0.447674282412686,0.00582827243469358,13179,3473
2021-11-04,3.32455546905194e-06,-0.889947492028872,0.00297232450922784,-2.07347419142098,0.00258724571413952,0.0610644310890637,0.0067,0.108669807344634,-1.0588,0.0154676719803775,4.35832009473211e-14,0.922543428237456,0.00819050119286915,13752,3690
2021-11-05,0.00010873055566015,-0.896252093758526,0.00236887516606563,-2.32774935516274,0.00315120502772579,0.0735631316581919,0.0067,0.273780753105436,-1.05879999959867,0.118818600364591,1.15295683065094e-05,1.92462438603939,0.0108119819852077,16464,4323
2021-11-06,0.00244858062198355,-0.86492140237747,0.00351960379470483,-2.33896020594456,0.00130282584452351,0.0882913691511308,0.0067,-0.0563737232211054,-1.05889291968991,0.221048339888539,2.77390237171751e-05,0.424499273414737,0.00653335236718637,9945,2668
2021-11-07,0.000269183082184799,-0.901082639698395,0.00379664983735855,-2.23412063014576,0.000958271281410006,0.0865145032850932,0.0067,0.0952646157814869,-1.05878510949145,0.177570276249206,0.000108635858863367,0.498818732208601,0.00730369028632708,9351,2587
2021-11-08,0.000108825878894851,-0.801988641605345,0.00306483969225693,-2.75162783116927,0.00250728863937169,0.100313197369415,0.0067,0.293853807402831,-1.05856670425897,0.00875869481710966,0.000820964969629513,2.3839801672336,0.0100883650607236,23424,6341
2021-11-09,0.00141092884448119,-0.901950844149913,0.00459969106385905,-1.69894703422572,0.0022211781292846,0.0679069317301109,0.0067,0.175370383716423,-1.05879995140579,0.0968615531932079,4.50449238338289e-08,2.62036846094667,0.0125484900743334,16641,4454
2021-11-10,-0.00273885940509138,-0.909907927548701,0.00216587926007567,-2.08473850931728,0.00119171179760647,0.0573281331752496,0.0067,0.491285897030483,-1.06526844626095,0.101916874037657,0.00240039246870091,0.807860167756598,0.00622599576451487,20841,5484
2021-11-11,0.000912323381450683,-0.890042904929418,0.00282041954035753,-2.46016776857955,0.00160404082507565,0.0841459747606244,0.0067,0.142062487082406,-1.05879969465801,0.231810708495168,5.27290534460101e-06,0.312168559072558,0.00516008285356543,11724,3178
2021-11-12,-0.000659051540340446,-0.797485597536804,0.00309241310211415,-1.32561269701826,0.0023309063311008,0.0296445500376292,0.0067,0.417912046681885,-1.06141879588139,0.0489972882581148,0.000613099032689913,1.57251922732429,0.00855739359617915,21474,5447
2021-11-13,-0.000665363402191911,-0.906442367144236,0.00351733121084568,-2.51872285086763,0.000947548773366657,0.0996281587329083,0.0067,0.204911071509815,-0.797664389894393,0.133254098044234,0.0652562985543377,0.254745914515195,0.00564474567943635,7995,2167
2021-11-14,-0.000570229729243834,-0.773236230520149,0.00242283410713929,-2.58038349873728,0.00172844727962315,0.0712282658627456,0.0067,0.349518348519196,-1.0588,0.0166238367367955,3.52715769462565e-14,0.330693608348074,0.0067518708243645,7254,1955
2021-11-15,0.00178264438011002,-0.927375733275619,0.00314406457551781,-1.44913350334825,0.00144731145770565,0.050018871670854,0.0067,0.0148519217894113,-1.0588,3.56613772100918e-14,3.12271835402682e-14,0.373565360904599,0.00525861890930182,13509,3675
2021-11-16,0.0001857115760804,-0.916118978025284,0.00261431777770738,-2.25983042347036,0.00134792261271288,0.0669621926093504,0.0067,0.0569660543562967,-1.0588,0.379498672943647,3.54842142168422e-14,2.16062453397278,0.00842232180452834,30459,7961
2021-11-17,-0.00108497268079959,-0.970263096903303,0.00284011798580362,-2.16914982065673,0.00220733463993948,0.070344869642143,0.0067,0.423841577315605,-1.06113901193405,2.79102595625746e-08,0.00248362050792872,1.12917340141429,0.00806339467610703,17367,4646
2021-11-18,0.00442088059854877,-0.963268001411161,0.00167237606873097,-1.72013915985298,0.00226845085098054,0.0456177907287333,0.0067,-0.406771273717745,-2.28083767143005,0.0490238606333416,0.0109514501765298,0.632520211155879,0.00519345676224113,23451,6158
2021-11-19,-0.00121903719304103,-0.922260342563277,0.00233359053266996,-2.23826286741816,0.00212191228578611,0.0713377485141131,0.0067,0.3658959779616,-1.03883732037559,0.0141281530332032,4.27914552030352e-07,1.60931375831487,0.0089107634391131,20268,5330
2021-11-20,0.00270237366385432,-0.840879013016975,0.00240053876464655,-1.91890926244318,0.000364225147604632,0.0509110826947766,0.0067,-0.136813899756167,-1.0545512952588,0.297628942762618,1.22835488423709e-07,0.382682013441213,0.00595260613202951,10800,2783
2021-11-21,0.00260924726475419,-0.841655508033735,0.00233812305019691,-2.30506526699236,0.00178117465265103,0.072659417660117,0.0067,-0.112201265311898,-1.0588,0.237172102976071,5.81589465006128e-07,0.17685594817262,0.00441674146142423,9066,2388
2021-11-22,-0.00176353661721382,-0.935051662502103,0.00160808505997163,-2.5329462138225,0.00107987697845026,0.056582592424708,0.0067,0.484222963050588,-1.05876139919422,0.0504044121746349,6.01255738789875e-05,1.5728694150455,0.00901932934240025,19335,5176
2021-11-23,0.000144953688602711,-0.890568499854945,0.00301253592779689,-1.90650354442849,0.00331027584701411,0.0617017852386213,0.0067,0.261005453974428,-1.05879993363444,0.026453749690986,2.03364676547064e-05,2.60016590986038,0.0127459640961774,16005,4135
2021-11-24,0.00299766182909015,-0.841954017322485,0.00289506464153132,-2.06906016859294,0.000676737850300741,0.071199609612277,0.0067,-0.21099392873392,-1.05873840880369,0.0970361032703778,0.00141321187964686,0.229521325886225,0.00395101377119696,14703,3877
2021-11-25,-0.00140148393042317,-0.93725044305454,0.00201523090413277,-2.31412565250283,0.0022133638530161,0.0609511603784391,0.0067,0.399500900165174,-1.09083289086056,0.138920784792744,0.00113168958384431,1.12778090940786,0.00815766665111803,16947,4381
2021-11-26,0.000281394580866703,-0.884467039673252,0.0028701362299655,-2.20983717971314,0.00187809833770055,0.0749636918994224,0.0067,0.293490078861666,-1.10901985625832,0.0065856328652108,0.0166246783284491,4.84524192396871,0.0122475648949167,32301,8493
2021-11-27,8.45693758839325e-07,-0.875215726294349,0.00352482890080617,-2.00571978909785,0.00168631547413498,0.0694020640573181,0.0067,0.271907181698183,-1.29409381190897,0.322992896371852,0.0791690480539776,0.501819407131671,0.00670566154054813,11160,3003
2021-11-28,-0.000417956115966169,-0.941838520887979,0.00246899472777946,-2.73019363887569,0.00200031886640161,0.0811749205004004,0.0067,0.259210495220212,-1.05855348155756,0.0165286754925368,3.0880969417362e-05,1.19796199535163,0.00845191243526898,16770,4391
