V0,mu,alpha,beta,sigma2_v,mu_y,sigma2_y,rho,rho_j,mu_v,lambda,LL
0.892859236477691,-0.545185192293264,1.67611723066385,-0.95196255973424,0.086674299397468,0.474431574062657,2.66893165608508,0.112092815566036,-1.76433153596613,0.350419682249455,0.0453975327116593,-321.876978332762
0.843603632897981,-0.383235335239982,1.56749976015563,-0.898435393804198,0.086674299397468,0.228759981955399,3.23540243398906,0.112092815566036,0.0850534989066593,0.329629055330895,0.0110497888271354,-330.832464692455
0.880719168959596,-0.388703405853972,1.57777146522527,-0.900392366999644,0.0765751185931231,-0.203142916593221,2.52917745094046,0.112092815566036,0.349943326918439,0.358667438112702,0.0100943125406919,-320.659848999795
0.859729493298458,-0.480920328152847,1.55893407093453,-0.892933463134235,0.0765751185931231,-0.311993059220696,2.73256511112171,0.104543230662744,0.366240090328022,0.36108473616478,0.0391907698834652,-316.787299401119
0.859729493298458,-0.222687288301384,1.59710453389233,-0.921034242111944,0.0611382849456495,-0.478263575701237,3.08855207477567,0.104543230662744,0.211709462329312,0.374111315461141,0.00563667046269195,-313.037770310392
0.883476782856712,-0.568945028961047,1.71145965005728,-0.987043452496622,0.0611382849456495,-0.283150858051872,2.63721172826533,0.130037480124651,0.165682948004831,0.339566535796278,0.0247221221256076,-315.032677524378
0.967774811612622,-0.434556736607213,1.6765333721191,-0.981351614057613,0.0611382849456495,0.30034272603611,2.58302104706549,0.146295851306821,-2.41802523259605,0.317559781942351,0.00260966414098393,-326.357311469385
0.967774811612622,-0.539331474558707,1.66661160230831,-0.966064580630391,0.0611382849456495,0.372460427224705,3.01972291827371,0.121758297099353,-1.22742949088302,0.349734925353734,0.00818992876663257,-325.00110166707
0.97552836004944,-0.458372463824186,1.71824828936723,-0.977283788953446,0.0611382849456495,0.461185670582077,2.711501795586,0.136206166773067,-0.99778090073009,0.359506711403632,0.0187938964427417,-323.81223938681
0.979007234767368,-0.3727984552917,1.751465274919,-1.00577758886514,0.0611382849456495,0.507288250916931,2.55178939966641,0.158417117408355,-1.44638398656856,0.401342184233977,0.00434682076237618,-315.606275239324
1.07016480016089,-0.623299816020557,1.61085370955751,-0.93823594226008,0.0611382849456495,-0.140768714791242,3.07848951204207,0.0728584423049687,0.452122624094807,0.400129378569933,0.00995778636379071,-311.331867641918
