date,mu,rho,alpha,beta,V0,sigma_v,lambda,mu_y,rho_j,sigma_y,mu_v,SSE_SVCJ,RMSE_SVCJ,n_obs,n_contract,exitflag,elapsed_sec
2021-11-01,8.96566737203452e-05,-0.825244068158459,0.00263108008135214,-1.79124458605083,0.00370480123610559,0.0445804426457284,0.0067,0.18134449763816,-1.06044335237764,1.9617774155939e-07,0.00341764325409109,1.00336075762255,0.008286265865037,14613,3790,2,488.075877958333
2021-11-02,0.000751723656177097,-0.921999959346746,0.00313894126364914,-2.01371515388538,0.00178820293382727,0.0660861656936527,0.0067,0.0827709381018295,-1.0588,0.359493648520021,3.17862776323608e-08,0.734719979055944,0.00690874701813685,15393,4071,2,532.614802208333
2021-11-03,0.00161455948638314,-0.855496380399498,0.00289235992001322,-1.79778754485867,0.00172990680252977,0.04332350862878,0.0067,0.0966489276233591,-1.05864338804771,0.254429236516415,6.67608714379063e-05,1.14647379886966,0.00932697554343007,13179,3473,2,1674.52268541667
2021-11-04,0.000274164728460539,-0.870921369533931,0.00278419621698984,-1.97168922767416,0.00104124688365567,0.0608238768674767,0.0067,0.183446709628532,-1.0588,0.176257190877642,4.35607413334248e-14,0.304151713753424,0.00470286164285812,13752,3690,2,641.149265083333
2021-11-05,-0.000348480634783526,-0.891447150157739,0.00230805756225553,-2.38606295462297,0.0019325736124133,0.0736195541621859,0.0067,0.308882637273051,-1.0588,6.05777438272698e-08,3.55522183213349e-14,0.645348279026399,0.00626079378462162,16464,4323,2,747.486370541667
2021-11-06,0.000636731156666828,-0.858161688668646,0.00320280313172692,-2.01622007553357,0.00120419028416215,0.0604877866344483,0.0067,0.0873305290298211,-1.06326829848865,0.0133742847052826,0.00377648103030644,0.516650656396985,0.00720768999140959,9945,2668,2,691.429174
2021-11-07,0.00167595773526567,-0.879336987762559,0.0026342373772472,-2.60998391608388,0.00206768754937714,0.0878412128505806,0.0067,-0.104352278326316,-1.0587648425529,0.00195117926465022,0.000368006280318203,0.797574699647407,0.00923542011333602,9351,2587,2,359.437785166667
2021-11-08,0.00024606575978719,-0.900658027342527,0.00274701611936973,-2.17732832055598,0.00183989641449491,0.0696645234109751,0.0067,0.167008389835896,-0.266461169854509,0.0939861793046587,0.0651179176395473,1.10332276643986,0.00686310684669365,23424,6341,2,1806.58348666667
2021-11-09,-0.000748553105493339,-0.872553605921112,0.00162003182682399,-2.30298935510074,0.000817261411494096,0.0569283307232952,0.0067,0.257693921971214,0.0526126333374097,3.17697255691601e-14,0.0877985563360532,1.36482684883837,0.00905626387866871,16641,4454,2,1611.19439808333
2021-11-10,0.000789947269978791,-0.891878929699309,0.00240106973014865,-2.19839304204501,0.00189514172490191,0.0622248628474288,0.0067,0.140658743990593,-1.07317217265227,0.193396716827906,0.00360682872384885,0.894241843532975,0.00655040597309869,20841,5484,2,3240.7127225
2021-11-11,-0.000260353006530524,-0.899005167979438,0.00223942063206468,-1.99696563975723,0.00207896871502717,0.0606836945330646,0.0067,0.234855093861097,-1.05840239190624,0.108952181282531,5.16222182846499e-05,0.280801110024851,0.00489397228128026,11724,3178,2,1069.24513241667
2021-11-12,-0.000254810521962418,-0.892182859617433,0.00274137147819292,-2.06609328064749,0.0024998341182203,0.0605768528601255,0.0067,0.101002672052655,-1.05879999990257,0.0212009832890816,1.90126108347876e-05,2.7907832843101,0.0114000454328812,21474,5447,2,1690.671067625
2021-11-13,-0.000620981448375145,-0.91584115117367,0.00284417497790873,-2.49215729252016,0.000572122447306055,0.0781995334438727,0.0067,0.278030244745853,-1.0455874411607,0.000186630391188056,6.92841997321499e-05,0.672296095455796,0.0091700364182439,7995,2167,2,606.124074708333
