mu,V0,sigma_BS,LL
-0.00359725420925124,0.0128607791528931,0.113405375326274,-14.0149021793892
-0.00767344565681505,0.0128607791528931,0.113405375326274,-14.0241043885007
-0.00771339496192511,0.0128607791528931,0.113405375326274,-14.0293689911673
-0.00460061964467765,0.0128607791528931,0.113405375326274,-13.9201478519156
-0.00601194847605543,0.0128607791528931,0.113405375326274,-13.8941057445288
-0.0109006463427176,0.0128607791528931,0.113405375326274,-14.7730628568893
-0.00584457336171663,0.0128607791528931,0.113405375326274,-13.8906424377963
-0.0109989147723476,0.0128607791528931,0.113405375326274,-14.8061518925323
-0.0119079852970322,0.016433967078244,0.128195035310436,-15.5461819863449
-0.00592344886271124,0.016433967078244,0.128195035310436,-14.302011072368
-0.00247170474069741,0.016433967078244,0.128195035310436,-14.6090729746626
-0.00509373205247631,0.016433967078244,0.128195035310436,-14.3073810642087
-0.00812243819974711,0.016433967078244,0.128195035310436,-14.4972990007459
-0.00429520420255306,0.016433967078244,0.128195035310436,-14.3534521708991
-0.0117110039540384,0.016433967078244,0.128195035310436,-15.4693654842503
-0.00675630985015595,0.016433967078244,0.128195035310436,-14.3401819109495
-0.00260237397855905,0.0129700245260379,0.113886015498119,-14.1847798992724
-0.0131625941171305,0.0129700245260379,0.113886015498119,-15.7017566921976
-0.000665162492708604,0.0214542929680146,0.146472840376688,-15.5740262268734
0.00580899589297666,0.0214542929680146,0.146472840376688,-18.9108075307843
-0.00980259176492005,0.0214542929680146,0.146472840376688,-15.3512011744882
-0.0129314723461166,0.0214542929680146,0.146472840376688,-16.4820184912067
-0.00516659376236982,0.0214542929680146,0.146472840376688,-14.8078965878239
-0.0104344456281305,0.0214542929680146,0.146472840376688,-15.5299377948571
-0.0068093640907312,0.0564615227796302,0.237616335254187,-17.1775114665692
-0.00034880425346148,0.0564615227796302,0.237616335254187,-18.0155008725572
-0.00754159562872039,0.00781992987180183,0.0884303673621332,-13.3547661106042
-0.00482382903271888,0.00829396584491401,0.0910712130418499,-13.3128825540112
-0.00706257103229608,0.00829396584491401,0.0910712130418499,-13.3656164490232
-0.00253562690376104,0.00829396584491401,0.0910712130418499,-13.5851631326097
-0.0074083303782519,0.00513520860651681,0.0716603698463579,-13.0252774183013
-0.00378815507132176,0.0235574409791353,0.153484334637563,-15.0972012608516
-0.00818234565718313,0.0235574409791353,0.153484334637563,-15.1969105950256
-0.00625133498180452,0.0235574409791353,0.153484334637563,-15.0035049544488
-0.00587578231192039,0.0235574409791353,0.153484334637563,-14.9931334162115
-0.0028685028290396,0.0235574409791353,0.153484334637563,-15.2300249862018
8.31474815832208e-05,0.0235574409791353,0.153484334637563,-16.0156951523782
0.00257501061510662,0.027262599397877,0.165113898257769,-17.418010058776
-0.00568204103675834,0.027262599397877,0.165113898257769,-15.3017512722312
-0.00482946901808765,0.027262599397877,0.165113898257769,-15.321743219272
-0.000498979953628745,0.027262599397877,0.165113898257769,-16.1291211184287
-0.00846508098696828,0.027262599397877,0.165113898257769,-15.5546735463089
-0.000184009119216669,0.027262599397877,0.165113898257769,-16.2338570502982
-0.00725710626956897,0.027262599397877,0.165113898257769,-15.3850608183389
-0.00978559429996208,0.027262599397877,0.165113898257769,-15.8450861375052
0.000429484599282232,0.027262599397877,0.165113898257769,-16.4557719437625
-0.000975571676628761,0.027262599397877,0.165113898257769,-15.9825054926116
-0.00606374724844193,0.027262599397877,0.165113898257769,-15.3076162949509
-0.00897869920311433,0.027262599397877,0.165113898257769,-15.6545977860102
-0.00438398384910281,0.027262599397877,0.165113898257769,-15.3503740605467
-0.0124680171487859,0.027262599397877,0.165113898257769,-16.7726788914804
-0.0017232158856185,0.027262599397877,0.165113898257769,-15.7812881690366
-0.00612637024721381,0.027262599397877,0.165113898257769,-15.3094535328733
-0.0031307083369221,0.027262599397877,0.165113898257769,-15.4978716918389
