V,J,ZY,ZV
0.0014448579912536,0,-0.0850917975474699,0.0816396745465328
0.00383544414783014,0.01295,-0.0759592023667888,0.00605099461434086
0.00395465265750315,5e-05,0.146590444167882,0.0353576287545125
0.00297728796909213,0.00103,-0.100314096502928,0.00815997748163796
0.00333084758743489,0.00205,-0.288527957939685,0.00996681771233533
0.00321456508818624,0,-0.0895938666124362,0.0813556092734305
0.00191305304710458,1e-05,-0.326215286204623,0.000482977827551754
0.00257755431380389,0,0.158829432529738,0.0973860062069089
0.00551929050726811,0,0.271885387425671,0.0444843181225561
0.00285201913648248,0.00021,0.212550002588829,0.0184240532619555
0.00339772245692145,0,-0.0819236454008659,0.0589688358431923
0.00259326974527729,9e-05,0.11149576387435,0.0251806910280174
0.00263340663151289,0.00059,0.0948799206217248,0.0223224778640176
0.00397859473986146,0,0.125807921687773,0.0601531474021658
0.00585913645383289,0,-0.535351685817544,0.00225226554806581
0.00531701089462384,0.01014,-0.160170243896866,0.00403584778783766
0.00917128540904661,3e-05,-0.397872778953951,0.0106156177708309
0.622334449929435,1,0.057108293223681,0.622734529341001
0.0451763544165881,0.00543,0.849730055774381,0.18605377844021
0.0107945979309549,0.0073,0.0847074944072412,0.058231107094948
0.00673890710279077,0.00017,-0.629141141800509,0.0116032899328677
0.00243433062235126,7e-05,0.132838496244906,0.0328554832911922
0.00373921579745336,0.00157,0.00968144435100959,0.0140660365615537
0.00412214810443834,0,-0.419445188080373,0.0400437780331232
0.00744076492408958,1e-05,-0.508988195344439,0.0175294950765474
0.00368937928297417,0,-0.0985104709272092,0.0934446575337972
0.00256052463123066,0,-0.461589672398341,0.0239314903396917
0.00190372093683503,0,-0.38386059237131,0.00672825595245231
0.00372181677759328,0,0.371718680725992,0.00790008414833958
0.00255472713446059,0.00056,0.0967965318370567,0.0314251854858471
0.00375913569622812,0,0.375996335424172,0.0157824388675218
0.00735814360302464,0,0.550280735114532,0.0635409590212832
0.0076288840178035,0,0.390654031719051,0.0882620398053824
0.0031974985464875,0.00069,0.20623451009144,0.029582151543659
0.00219814716097117,7e-05,0.140070709041499,0.033705879762907
0.00238554839601561,0,0.296549851874213,0.0644546407029375
0.00350930697018064,0,0.0401022796735326,0.0434896380730563
0.00546088977069233,0,-0.46058998774724,0.00037465632104979
0.00353982828701207,0.0006,0.136787680319484,0.0190963910851932
0.00292330484353429,0,1.06061050474796,0.0738754527437184
0.00333369984001056,0,-0.323332355033872,0.00520596942789537
0.00650154710013135,0,-0.662519682810309,0.00624490389031739
0.00254230845944961,0,-0.0432820463861903,0.0993970359371205
0.0023331880295117,5e-05,0.24246414507774,0.0343142300665023
0.00413810005248727,6e-05,-0.250044620105854,0.000593874433601473
0.00386778062721266,0,-0.0490934351982122,0.0656323545360499
0.00276924744240154,0,-0.0292439497846549,0.0543205590174683
0.00299291494305282,0,-0.0150260550322718,0.0405377287407655
0.00332227915576606,0,0.336715017922237,0.015464005396307
0.00153575056724174,0,0.499912314407846,0.0366887171758447
0.00299898596247427,0,-0.373518443782804,0.0131357780130823
0.00174418402733777,0,0.492993658573943,0.0129267648597699
0.00251171775358696,0,-0.431848939942161,0.0295731330546546
0.00262898077435186,0,-0.252368231732991,0.141031391084269
0.00306572593997056,0.00043,0.0609850878818473,0.0213935611728326
0.00406572183511286,0,0.245927750601975,0.0625705521889182
0.00644061983597659,0,-0.668917718212358,0.118941434499112
0.00308949343407865,0,-0.669706838203767,0.0205260768862017
0.00292561666937571,0.00025,0.0158213668108168,0.0222182382101687
0.00387768810988617,0,-0.359080110264348,0.121403696567235
0.00191539975437976,0,-0.577413450242572,0.00679705423230619
0.003324668223989,0.00224,0.0257123910109287,0.00669841035899015
0.00391333446862842,0,0.193187617056533,0.0528319741197265
0.00407494197083571,5e-05,0.115568121408428,0.0253285892495068
0.00572902856545757,0,0.329225846985335,0.0285562894752439
0.00416406543803105,0,0.213166656462608,0.152202587838466
0.0038909307423572,0,-0.309723652764674,0.0797582474467667
0.00291563561767472,0,0.211269393656535,0.0812386850566327
0.00228225899379149,6e-05,-0.114488051139149,0.00627331946611943
0.00357889751663529,0.0002,-0.0948096284723411,0.02018215366655
0.00251447061375263,0,0.247278682927798,0.0969470402371075
0.00215903534303633,1e-05,0.124767557468221,0.0345695123468244
0.0038576209865867,0,0.0780624685120877,0.071697808342817
0.00235403076255967,0,0.0819763862466094,0.0402624132034365
0.00268113127190285,0.00087,0.0403652257438161,0.0211825163014169
0.00360751936594514,0.00381,-0.113882061198359,0.00314519839970521
0.00406384647778141,0,-0.321948510372923,0.0673599786762675
0.0026808302407826,0,0.272834037804272,0.0390971581460021
0.00354009618583872,0,-0.281773312864125,0.0800085532409858
0.00559522915164754,0,-0.186593262877666,0.194059962464884
0.00979607579050737,0,0.256278506083686,0.0810988133496676
0.0047455226782623,0,-0.442600418117223,0.00195135328942783
0.00390971737648815,0.00139,0.168134511675709,0.0335587341240957
0.00186394482321497,0,-0.470789425614106,0.00144578664513739
0.0030627136189814,0,0.0271074106549324,0.0322982588730623
0.00299533674451416,0.00216,-0.151182688845077,0.00470914116901795
0.00380041454713025,0,0.0341513531598155,0.0451733941184711
0.00210528524177435,0,-0.0120677229235937,0.106545665450706
0.000976523512723988,0,-0.140989429477981,0.0560326813038087
