date,sigma_BS,SSE_BS,RMSE_BS,n_obs,n_contract,exitflag,elapsed_sec
2021-11-01,0.0307134741210938,9.83414497670783,0.0259417106565862,14613,3790,1,0.532409666666667
2021-11-02,0.0287820263671875,13.512811786271,0.0296286067086316,15393,4071,1,0.279757291666667
2021-11-03,0.0297024462890625,9.92102171905283,0.0274370219813846,13179,3473,1,0.235601041666667
2021-11-04,0.0269196752929688,8.42692811445847,0.0247543605822163,13752,3690,1,0.258390083333333
2021-11-05,0.0318431396484375,6.91343852034537,0.0204917653356422,16464,4323,1,0.335023
2021-11-06,0.0302917236328125,5.55400410878458,0.0236320123331996,9945,2668,1,0.1846435
2021-11-07,0.0275532788085937,6.86836744058415,0.0271017747793613,9351,2587,1,0.166663166666667
2021-11-08,0.0310713427734375,20.1505678229274,0.0293300710229457,23424,6341,1,0.478287791666667
2021-11-09,0.0304892358398438,12.359364891031,0.0272526266656727,16641,4454,1,0.338279166666667
2021-11-10,0.0326507885742188,11.2339137654489,0.0232170088057511,20841,5484,1,0.425957333333333
2021-11-11,0.0339395068359375,5.33795003423757,0.0213377856090516,11724,3178,1,0.23893425
2021-11-12,0.0327798559570313,7.09183544962487,0.0181728419997379,21474,5447,1,0.426810333333333
2021-11-13,0.0296287866210938,5.97655173086089,0.0273411078134721,7995,2167,1,0.136061125
2021-11-14,0.032172978515625,3.90917136036916,0.0232141923458669,7254,1955,1,0.142835083333333
2021-11-15,0.0310139794921875,4.62124376700851,0.0184955750270532,13509,3675,1,0.255897291666667
2021-11-16,0.0305915771484375,20.6850128706092,0.0260597399320639,30459,7961,1,0.609241041666667
2021-11-17,0.0283645129394531,8.41369267980407,0.0220105512889404,17367,4646,1,0.313894541666667
2021-11-18,0.0288817602539063,11.8650176189724,0.0224933173394158,23451,6158,1,0.446089
2021-11-19,0.0312936254882813,12.821754428848,0.0251517541646523,20268,5330,1,0.394343916666667
2021-11-20,0.0335848974609375,3.47769309728913,0.0179445986335544,10800,2783,1,0.215558083333333
2021-11-21,0.033106435546875,2.48262907030346,0.0165480971115333,9066,2388,1,0.180114708333333
2021-11-22,0.0271576025390625,9.9662539231994,0.0227035560454489,19335,5176,1,0.309791291666667
2021-11-23,0.0305847326660156,6.11251735735598,0.0195425941734024,16005,4135,1,0.31875575
2021-11-24,0.0294958081054688,5.6993148134602,0.0196883057339705,14703,3877,1,0.2754005
2021-11-25,0.029513408203125,9.5519215879365,0.0237409973532617,16947,4381,1,0.381655166666667
2021-11-26,0.0290945910644531,20.0854606258016,0.0249363516738902,32301,8493,1,0.653853625
2021-11-27,0.0314122631835938,4.79313507006619,0.0207241981700349,11160,3003,1,0.229503708333333
2021-11-28,0.0238885473632812,11.5463969383759,0.0262395697975209,16770,4391,1,0.344202083333333
2021-11-29,0.0323809204101563,8.40781763024957,0.021005149140635,19056,4914,1,0.384636708333333
2021-11-30,0.0300935595703125,8.25104323365005,0.0197739131352644,21102,5487,1,0.423070625
2021-12-01,0.0250019165039062,9.04536408206651,0.0243026999813541,15315,4124,1,0.282341291666667
2021-12-02,0.0292376733398438,6.94270985963723,0.0211469969996271,15525,4186,1,0.300686958333333
2021-12-03,0.0271696618652344,13.9414162259823,0.0223562032036177,27894,7328,1,0.535419625
2021-12-04,0.0295927716064453,34.6744804471844,0.0283606362564377,43110,11708,1,0.848460458333333
2021-12-05,0.0253092663574219,16.1888096566906,0.0329476883572674,14913,4088,1,0.297832833333333
2021-12-06,0.0317329760742188,16.2187948684924,0.0265751708720697,22965,6072,1,0.446772708333333
2021-12-07,0.0254732080078125,13.6941230332166,0.0267231778600595,19176,5134,1,0.334454125
2021-12-08,0.030141796875,9.04624023147494,0.0248502103251318,14649,3783,1,0.264809666666667
2021-12-09,0.030071396484375,8.83363328077772,0.0227425136338934,17079,4410,1,0.328768166666667
2021-12-10,0.0304820654296875,11.3796071765533,0.0217654722029035,24021,6474,1,0.477939166666667
2021-12-11,0.0343905908203125,5.90410762943016,0.0217166240580456,12519,3461,1,0.266750625
2021-12-12,0.0295147119140625,6.17862650966323,0.0217691004509292,13038,3415,1,0.238476333333333
2021-12-13,0.0257880541992188,15.020989403298,0.0268177064754639,20886,5514,1,0.361218333333333
2021-12-14,0.0317903393554688,8.08159794800523,0.0220135282886486,16677,4529,1,0.322155833333333
2021-12-15,0.0316117309570313,7.16308389489879,0.0176116658990067,23094,6047,1,0.423941416666667
2021-12-16,0.0325751733398438,6.17633463312105,0.0195131146759655,16221,4356,1,0.343055375
2021-12-17,0.0246746850585937,8.69792228781412,0.0219840500049695,17997,4655,1,0.348555041666667
2021-12-18,0.0308216821289063,5.20253782659104,0.0228170597450656,9993,2558,1,0.174430666666667
2021-12-19,0.0353344775390625,3.29551787171879,0.0180411542477057,10125,2612,1,0.206790375
2021-12-20,0.0310315795898438,4.00346195469523,0.0155217806902296,16617,4515,1,0.330795625
2021-12-21,0.02746658203125,7.19152339306256,0.0196157897562527,18690,4939,1,0.319085875
2021-12-22,0.030676318359375,4.15970951726264,0.0200591828865315,10338,2644,1,0.187527666666667
2021-12-23,0.0246694702148437,10.1242776391933,0.0256460443221046,15393,3937,1,0.293683708333333
2021-12-24,0.0303543017578125,8.9044755910648,0.0226786923384431,17313,4318,1,0.3163585
2021-12-25,0.029909736328125,2.78442701805892,0.0192411101251569,7521,1932,1,0.128354208333333
2021-12-26,0.0326136328125,4.87452777317025,0.0214514566689335,10593,2668,1,0.19704575
2021-12-27,0.0281536376953125,5.22921624993971,0.0207151324349008,12186,3176,1,0.227173625
2021-12-28,0.0221008337402344,11.8331627310757,0.0232497141671981,21891,5534,1,0.428552041666667
2021-12-29,0.0291086059570313,5.44552021863857,0.0180118787445774,16785,3891,1,0.276065333333333
2021-12-30,0.0302949829101563,4.47603120997609,0.0184712457753982,13119,3290,1,0.307108291666667
2021-12-31,0.024392431640625,14.3220990166228,0.0231630907076958,26694,6732,1,0.688357666666667
2022-01-01,0.030326923828125,2.42964956389476,0.0166284399349068,8787,2330,1,0.16218575
2022-01-02,0.0239798071289062,3.60645754786397,0.0206019155723863,8497,2257,1,0.160971833333333
2022-01-03,0.0280682446289063,3.58344691710051,0.0170999102097048,12255,3206,1,0.207913916666667
2022-01-04,0.0257782763671875,4.41127651847635,0.0186754559051036,12648,3347,1,0.257063083333333
2022-01-05,0.0281705859375,7.99409794248436,0.0204416475766285,19131,4971,1,0.355332541666667
2022-01-06,0.0275884790039063,9.59556573923142,0.023313175424132,17655,4397,1,0.327107958333333
2022-01-07,0.0275888049316406,9.00357866699911,0.0191241084595433,24618,6294,1,0.457521916666667
2022-01-08,0.0269503125,3.040123801563,0.0169649269866652,10563,2751,1,0.211213083333333
2022-01-09,0.0250410278320312,2.74656025227351,0.017801646270252,8667,2324,1,0.14898475
2022-01-10,0.0257610021972656,6.07832135093894,0.0188387108162891,17127,4292,1,0.354421458333333
2022-01-11,0.027474404296875,3.69863601349752,0.0152317356780587,15942,4025,1,0.2662205
2022-01-12,0.0262430493164063,4.20545575656462,0.0163795799206612,15675,4008,1,0.277408041666667
2022-01-13,0.0243761352539063,6.80648812034529,0.02253431370084,13404,3315,1,0.275597166666667
2022-01-14,0.025826513671875,7.67861994107712,0.0233363016466722,14100,3688,1,0.296796375
2022-01-15,0.0248330859375,2.04438907605528,0.0176239331523708,6582,1772,1,0.119065041666667
2022-01-16,0.0261009448242187,1.72675346426582,0.0153525920799833,7326,1826,1,0.110628125
2022-01-17,0.0216735424804687,4.4798440947175,0.0195176618399968,11760,3029,1,0.259839166666667
2022-01-18,0.0256055346679687,3.43842781269954,0.0171827061333545,11646,2951,1,0.211038208333333
2022-01-19,0.0282422900390625,3.53747411838895,0.017247223262255,11892,3010,1,0.193760208333333
2022-01-20,0.0280157702636719,4.2907834699745,0.0150458892690499,18954,4588,1,0.30334
2022-01-21,0.0222380493164062,23.7284315456749,0.0241195005666058,40788,10105,1,0.928355666666667
2022-01-22,0.0254252966308594,22.2709158122931,0.0261100536773355,32668,7977,1,0.573387916666667
2022-01-23,0.0273146997070313,6.16528695344847,0.0188122225177707,17421,4291,1,0.327317208333333
2022-01-24,0.0266830517578125,18.8911375674372,0.0217649125020064,39879,9527,1,0.724513708333333
2022-01-25,0.0311410913085938,10.4116596113772,0.0212040506430509,23157,5904,1,0.485532208333333
2022-01-26,0.0283501721191406,11.8204336931729,0.01984880497494,30003,7594,1,0.516359833333333
2022-01-27,0.0293497924804688,4.93607222364345,0.0161045479303765,19032,4759,1,0.31921025
2022-01-28,0.029599453125,3.94805138884083,0.0139692146355706,20232,5143,1,0.356318041666667
2022-01-29,0.0262130639648437,2.5479101832904,0.0150996990452264,11175,2872,1,0.18925275
