Parameter,Mean,Std,Min,Q25,Median,Q75,Max
mu,0.0003,0,0.0003,0.0003,0.0003,0.0003,0.0003
rho,-0.1705,5.58221405062002e-17,-0.1705,-0.1705,-0.1705,-0.1705,-0.1705
alpha,-0,0,-0,-0,0,-0,-0
beta,-4.9991,8.93154248099203e-16,-4.9991,-4.9991,-4.9991,-4.9991,-4.9991
V0,0,0,0,0,0,0,0
sigma_v,1.9627,8.93154248099203e-16,1.9627,1.9627,1.9627,1.9627,1.9627
lambda,0.234,0,0.234,0.234,0.234,0.234,0.234
mu_y,0.0035,1.74444189081876e-18,0.0035,0.0035,0.0035,0.0035,0.0035
sigma_y,0.0792,1.395553512655e-17,0.0792,0.0792,0.0792,0.0792,0.0792
