Parameter,Mean,Std,Min,Q25,Median,Q75,Max
mu,0.00116137003946765,0.00039926306700717,0.000268846291757128,0.000861540970090374,0.00113656102343071,0.00139024432394906,0.00215813870370432
rho,0.0656300364277911,0.512503497066838,-0.999999999999499,-0.222416011139005,-0.000864170022362189,0.300258728841471,0.999999999999977
alpha,0.000420010202427825,0.000344546477991923,1.07884507267507e-05,0.000199869134239638,0.000327060945697429,0.000557200930290805,0.00180707535275765
beta,0.761197757221133,0.187247265316837,0.00797854618294195,0.711927111275353,0.811070243803716,0.869093983321919,0.998028511428411
V0,0.00103829883186837,0.000497811519688321,0.000278809693431366,0.000666641348805634,0.000930914411492834,0.00134713567844081,0.00249047209085382
sigma_v,0.0268588186648092,0.0137768127985862,1.00000227536641e-08,0.019433417884947,0.0248533153436265,0.0337494963530059,0.0720495626757281
